,smoothing,normalization,wsize,memory,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,0,0,201,1200,0.05,0.5714283765270626,0.023422430420958325,12.289073205259433,0.5771144275735749,0.28784119099557287,201.0,403,116.0
1,0,0,75,200,0.11,0.09470519323432394,0.4036924772553405,0.9343030737687728,0.0940012368525664,0.3771712157873024,1617.0,403,152.0
2,0,1,25,600,0.24,0.07581887452167614,0.08376963350554507,0.7405388180516858,0.07598784192219214,0.06203473943870105,329.0,403,25.0
3,0,1,51,1000,0.08,0.04378298745297814,0.35767429042828125,0.40931637543306343,0.04347826086636122,0.14640198507533447,1357.0,403,59.0
4,1,1,151,600,0.03,0.22407925209150836,0.33232295397265577,2.5760457904449643,0.22243713731641282,0.8560794042540746,1551.0,403,345.0
5,1,0,251,800,0.06,0.7622536568316983,0.023697988425910775,29.00423446092325,0.7630853992388194,0.6873449129808077,363.0,403,277.0
6,1,0,225,1800,0.07,0.7249787159136949,0.023697988425910775,23.978229933398644,0.7269841267533383,0.5682382132585017,315.0,403,229.0
7,0,0,75,200,0.11,0.04508845639072209,0.4411683659288739,0.42184388207408113,0.04474940333861877,0.18610421831610316,1676.0,403,75.0
8,1,1,11,1600,1.0,0.7391863031359872,0.0,272952.85353028466,0.9999999909090911,0.027295285353028463,11.0,403,11.0
9,1,1,51,2000,0.18,0.9676138801148765,0.0,2282878.411344199,0.9999999989130436,0.22828784113441988,92.0,403,92.0
10,1,0,301,400,0.05,0.19282597922895628,0.3573987324233288,2.1314747872621314,0.19139650871624708,0.761786600307249,1604.0,403,307.0
11,0,1,25,1000,0.21,0.043308165229982085,0.15265913474365778,0.4063608699655052,0.04317789291136824,0.06203473943870105,579.0,403,25.0
12,0,0,251,1400,0.04,0.9940397594000693,0.0,6228287.839645586,0.9999999996015937,0.6228287839645585,251.0,403,251.0
13,1,0,225,1200,0.07,0.7267543834986246,0.023697988425910775,24.18764678871217,0.7287066243758022,0.5732009924135978,317.0,403,231.0
14,0,1,275,2000,0.01,0.19991353730415462,0.4488839900675425,2.227746587323675,0.19832677164378312,0.9999999997518609,2032.0,403,403.0
15,0,0,175,600,0.03,0.9966995383862429,0.0,7493796.524195088,0.9999999996688741,0.7493796524195088,302.0,403,302.0
16,1,1,151,200,0.08,0.1878904739553146,0.07605400936687644,2.0881045650932326,0.18823529406228373,0.1588089329630747,340.0,403,64.0
17,1,0,11,400,0.8300000000000001,0.025538375908853512,0.11573436208002937,0.2358440594310968,0.02552204175741948,0.027295285353028463,431.0,403,11.0
