,smoothing,normalization,wsize,memory,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,0,0,201,1800,0.04,0.8072726771035474,0.02452466244076813,33.69258851412621,0.7890995258793603,0.826302729323498,422.0,403,333.0
1,1,1,251,1000,0.03,0.6427431779697025,0.12344998621869799,8.100439865066688,0.4735605169831304,0.9999999997518609,851.0,403,403.0
2,0,1,75,1600,0.06,0.1627408502618345,0.12537889225336515,1.504124451028913,0.14312617699752803,0.1885856078936512,531.0,403,76.0
3,1,0,101,800,0.15,0.07082148072815145,0.07660512537678134,0.809797753790089,0.08250825079785205,0.06203473943870105,303.0,403,25.0
4,0,0,175,2000,0.04,0.5121106842464803,0.007440066133716174,49.35987327122766,0.8457142852310204,0.36724565747711024,175.0,403,148.0
5,0,0,101,400,0.07,0.21019766197499615,0.12593000826327005,1.990154306930351,0.18100358419695278,0.2506203473323523,558.0,403,101.0
6,1,1,275,600,0.03,0.2033542488546632,0.1251033342484127,1.9239662801280295,0.1760435571368342,0.2406947890221601,551.0,403,97.0
7,0,0,75,800,0.11,0.36842102242702135,0.0,2258064.515568719,0.9999999989010989,0.22580645155687185,91.0,403,91.0
8,1,0,275,200,0.05,0.21724266300531034,0.5356847616275645,1.3248039472732835,0.12825112107048203,0.70967741917874,2230.0,403,286.0
9,1,0,151,600,0.04,0.07547166263955159,0.3527142463391371,0.4643182615563452,0.04903417533068097,0.1637717121181708,1346.0,403,66.0
10,0,0,101,800,0.07,0.72870657805581,0.0,5732009.924135978,0.9999999995670996,0.5732009924135978,231.0,403,231.0
11,0,1,301,200,0.03,0.16619713396589425,0.06833838522820782,2.142306558104754,0.19218241036085262,0.14640198507533447,307.0,403,59.0
12,1,1,201,1600,0.04,0.3079469753579951,0.029760264534864696,7.754247446855647,0.4626865669339868,0.23076923071196792,201.0,403,93.0
13,0,0,151,2000,0.04,0.8414154152069273,0.010746762193145585,74.11708088161313,0.8916666664189814,0.7965260543929216,360.0,403,321.0
14,0,1,151,1800,0.02,0.31984124294668276,0.4723064204885008,2.1172690961741822,0.19036372223947268,0.9999999997518609,2117.0,403,403.0
15,0,1,301,1400,0.01,0.2655683459799992,0.6142187930390131,1.6280840773296508,0.15311550151393938,0.9999999997518609,2632.0,403,403.0
16,0,1,51,400,0.08,0.07335487427465331,0.38109672084923957,0.44276016498184745,0.04686423156120853,0.16873449127326687,1451.0,403,68.0
17,0,0,151,800,0.04,0.7190683646824293,0.010195646183240682,60.11362137102135,0.8697183095529161,0.6129032256543664,284.0,403,247.0
18,1,1,11,1200,0.99,0.05314009141987023,0.0,272952.85353028466,0.9999999909090911,0.027295285353028463,11.0,403,11.0
19,0,1,25,400,0.25,0.05882347953194538,0.11628547808993427,0.5334689000791132,0.05592841162059767,0.06203473943870105,447.0,403,25.0
20,0,1,75,1800,0.05,0.19818856508553057,0.3549187103787567,1.3004057489412817,0.1261872455816698,0.46153846142393584,1474.0,403,186.0
21,0,0,125,800,0.05,0.4860853053170024,0.0013777900247622544,235.91290220341116,0.9632352934093859,0.3250620346587935,136.0,403,131.0
22,0,1,275,1200,0.01,0.2491499008936377,0.6693303940295032,1.4940302416697935,0.14230225988198086,0.9999999997518609,2832.0,403,403.0
23,1,0,175,600,0.08,0.4205607045274498,0.16836594102594749,3.979277423496102,0.30646992051004884,0.6699751859379713,881.0,403,270.0
24,1,0,75,1600,0.08,0.14245543562671018,0.16202810691204111,1.1639060351758819,0.11445783130806358,0.1885856078936512,664.0,403,76.0
25,1,0,101,1800,0.05,0.4242423787341366,0.1397079085108926,4.351507497523817,0.3257978722971014,0.6079404464992704,752.0,403,245.0
26,1,1,175,2000,0.04,0.46480738704324454,0.0482226508666789,9.004944103488754,0.49999999985714283,0.4342431760709074,350.0,403,175.0
27,1,1,175,400,0.03,0.3173931159892205,0.43675943784963467,2.130511210268912,0.19132653060248334,0.9305210915805158,1960.0,403,375.0
28,0,0,11,200,1.27,0.04933582737275288,0.030586938549722047,1.0546318322280888,0.10483870959287202,0.032258064508124545,124.0,403,13.0
29,0,0,25,600,0.41000000000000003,0.11682241885208414,0.0,620347.3943870106,0.999999996,0.06203473943870105,25.0,403,25.0
30,0,0,151,1200,0.05,0.4999999581929468,0.007164508128763723,49.52660399733525,0.8461538456531634,0.35483870958937,169.0,403,143.0
31,0,1,201,2000,0.02,0.798552422704702,0.026178010470482835,31.375066244544467,0.7769953049819259,0.821339950168402,426.0,403,331.0
32,0,0,151,1000,0.04,0.6198629707115576,0.0,4491315.135361956,0.9999999994475138,0.4491315135361956,181.0,403,181.0
33,1,0,101,1200,0.15,0.11826539035402299,0.08624965555011713,1.2946417097353762,0.1256983239872351,0.11166253098966189,358.0,403,45.0
34,1,0,301,400,0.05,0.2942643070032684,0.3601543124728533,2.0324891214038585,0.18414481896478496,0.7320099253766724,1602.0,403,295.0
35,1,1,101,1800,0.09,0.40079361858702073,0.0,2506203.473323523,0.999999999009901,0.2506203473323523,101.0,403,101.0
36,0,0,101,600,0.06,0.6174956689389799,0.0,4466501.239586476,0.9999999994444445,0.44665012395864756,180.0,403,180.0
37,0,0,51,1600,0.2,0.22466958348211857,0.0,1265508.6845495014,0.9999999980392157,0.12655086845495014,51.0,403,51.0
38,1,0,151,400,0.03,0.09800223581750472,0.5841829704991959,0.5521910191707439,0.05777777777520988,0.32258064508124545,2250.0,403,130.0
39,1,1,151,400,0.04,0.17847481716146163,0.35298980434408955,1.1598894904833343,0.1141078838095361,0.40942928029542697,1446.0,403,165.0
40,1,1,51,600,0.18,0.29323304585971965,0.014053458252574995,13.772198013501951,0.6046511623219759,0.1935483870487473,129.0,403,78.0
41,1,0,201,800,0.07,0.2931034008182209,0.13447230641679603,2.82327516463207,0.23868954754466623,0.37965260536485046,641.0,403,153.0
42,1,1,301,1400,0.04,0.5965908599710299,0.02507577845067303,20.780600460722958,0.6976744183728656,0.5210918112850889,301.0,403,210.0
43,0,0,75,2000,0.12,0.38152607338994776,0.0,2357320.09867064,0.9999999989473685,0.235732009867064,95.0,403,95.0
44,1,0,101,1400,0.05,0.2284122093907568,0.15183246072880044,2.0101809293960953,0.18249258157529785,0.30521091803840916,674.0,403,123.0
45,1,0,75,1000,0.11,0.012820463782467114,0.1452190686099416,0.10252322477673934,0.011257035645167536,0.014888337465288252,533.0,403,6.0
46,1,0,275,600,0.05,0.5804650693018967,0.09920088178288232,7.804293206386195,0.4642857142166242,0.7741935481949892,672.0,403,312.0
47,1,1,75,600,0.11,0.3138075047924603,0.0,1861042.1831610317,0.9999999986666668,0.18610421831610316,75.0,403,75.0
48,1,0,275,200,0.05,0.21666664078044967,0.5376136676622316,1.320050679253831,0.1278497988320139,0.70967741917874,2237.0,403,286.0
49,1,0,301,1600,0.05,0.7985257483344332,0.023697988425910775,34.030238988447856,0.790754257715145,0.8064516127031137,411.0,403,325.0
50,0,0,125,2000,0.06,0.7729322828424473,0.0013777900247622544,462.8214951624173,0.9809160301599557,0.6377171214298468,262.0,403,257.0
51,0,1,225,2000,0.02,0.7165604633428362,0.0,5583126.549483095,0.9999999995555556,0.5583126549483095,225.0,403,225.0
52,0,0,11,800,1.18,0.0671462764522201,0.0,347394.54085672594,0.9999999928571429,0.03473945408567259,14.0,403,14.0
53,1,0,51,600,0.13,0.06989669990924309,0.22375310002139012,0.4879534299472654,0.05140186915287361,0.10918114141211385,856.0,403,44.0
54,1,1,75,1400,0.11,0.3651115318721763,0.0,2233250.619793238,0.9999999988888889,0.22332506197932378,90.0,403,90.0
55,1,0,301,800,0.05,0.811664591379377,0.023697988425910775,34.97261483735872,0.7952380950487528,0.8287841189010461,420.0,403,334.0
56,0,0,101,1400,0.08,0.44100576816105674,0.0,2828784.118404768,0.999999999122807,0.2828784118404768,114.0,403,114.0
57,1,1,175,1400,0.03,0.6204620017129344,0.11931661614441123,7.8195454191752445,0.4647713225630691,0.9330024811580638,809.0,403,376.0
58,0,1,251,1800,0.01,0.3058823270079272,0.5039955910580327,1.9841439470495708,0.18055555554746616,0.9999999997518609,2232.0,403,403.0
59,0,1,11,2000,0.62,0.04554862658592521,0.01901350234171911,1.4355662258244415,0.137499999828125,0.027295285353028463,80.0,403,11.0
60,1,0,151,600,0.04,0.07437067389440553,0.3527142463391371,0.45728313638124896,0.0483271375428753,0.16129032254062273,1345.0,403,65.0
61,0,1,275,200,0.03,0.2383419189471634,0.07632956737182889,2.9908140438022457,0.24932249315736515,0.22828784113441988,369.0,403,92.0
62,0,0,175,1800,0.03,0.8683886336769226,0.0157068062822897,55.767221445900724,0.8609756095461034,0.8759305208744589,410.0,403,353.0
63,1,0,25,600,0.34,0.06718920017960912,0.1267566822781274,0.587279717807152,0.06122448978342357,0.07444168732644127,490.0,403,30.0
64,1,1,75,1400,0.13,0.3138075047924603,0.0,1861042.1831610317,0.9999999986666668,0.18610421831610316,75.0,403,75.0
65,1,1,225,2000,0.04,0.32911387773644696,0.03444475061905636,7.492107279519571,0.45414847141740244,0.25806451606499636,229.0,403,104.0
66,0,0,151,800,0.03,0.4716156790000015,0.17828602920423572,4.509437872222675,0.3336766220047707,0.8039702231255657,971.0,403,324.0
67,0,0,75,1200,0.12,0.3415637575445839,0.0,2059553.349364875,0.9999999987951808,0.2059553349364875,83.0,403,83.0
68,1,0,251,1400,0.06,0.8732718394548118,0.023697988425910775,39.68449408191304,0.8150537632655798,0.9404466498907079,465.0,403,379.0
69,0,1,125,400,0.02,0.18407077814817638,0.8784789197884134,1.0281700369407052,0.10247747747459242,0.9032258062274874,3552.0,403,364.0
