,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,1,1,75,1400,0.09,0.5372050421836584,1,0.0,3672456.5747711025,0.9999999993243244,0.36724565747711024,148.0,403,148.0
1,1,1,75,1400,0.09,0.9832267333858892,0.1,0.0,3672456.5747711025,0.9999999993243244,0.36724565747711024,148.0,403,148.0
2,1,0,301,800,0.05,0.7955664522698349,1,0.023697988425910775,33.82082213313433,0.789731051151655,0.8014888335480176,409.0,403,323.0
3,1,0,301,800,0.05,0.7898456761358165,0.1,0.023697988425910775,33.82082213313433,0.789731051151655,0.8014888335480176,409.0,403,323.0
4,1,1,75,1200,0.1,0.47039995404288437,1,0.020666850371433815,17.64964164252047,0.662162161863891,0.3647642678995622,222.0,403,147.0
5,1,1,75,1200,0.11,0.9704936503065708,0.1,0.0,2456575.6817725617,0.999999998989899,0.24565756817725617,99.0,403,99.0
6,1,1,251,1600,0.03,0.795656417873472,1,0.05704050702515733,17.531370227368345,0.6606557375966139,0.9999999997518609,610.0,403,403.0
7,1,1,251,1600,0.03,0.662882855067659,0.1,0.05704050702515733,17.531370227368345,0.6606557375966139,0.9999999997518609,610.0,403,403.0
8,1,0,11,2000,0.8300000000000001,0.3788819406239208,1,0.032791402589341656,9.231950491931968,0.50622406617999,0.30272952846086115,241.0,403,122.0
9,1,0,11,2000,0.89,0.5895507148209826,0.1,0.01873794433676666,13.374946863616934,0.5976331357410455,0.2506203473323523,169.0,403,101.0
10,0,1,125,1200,0.02,0.2491499008936377,1,0.6693303940295032,1.4940302416697935,0.14230225988198086,0.9999999997518609,2832.0,403,403.0
11,0,1,125,1200,0.02,0.14352103445321363,0.1,0.6693303940295032,1.4940302416697935,0.14230225988198086,0.9999999997518609,2832.0,403,403.0
12,0,0,75,1400,0.08,0.7327043558576628,1,0.0,5781637.715686939,0.9999999995708154,0.5781637715686938,233.0,403,233.0
13,0,0,75,1400,0.08,0.9928277428543493,0.1,0.0,5781637.715686939,0.9999999995708154,0.5781637715686938,233.0,403,233.0
14,0,0,125,800,0.05,0.8201438359314763,1,0.001928906034667156,366.6116211623031,0.9760273969260179,0.707196029601192,292.0,403,285.0
15,0,0,125,800,0.05,0.9723675294831813,0.1,0.001928906034667156,366.6116211623031,0.9760273969260179,0.707196029601192,292.0,403,285.0
16,1,1,201,1600,0.03,0.7217234725435083,1,0.08514742353030733,11.715180533926594,0.5654008438023347,0.997518610174313,711.0,403,402.0
17,1,1,201,1600,0.03,0.567836257875977,0.1,0.08514742353030733,11.715180533926594,0.5654008438023347,0.997518610174313,711.0,403,402.0
18,0,0,201,2000,0.03,0.8754208256794181,1,0.027004684485340186,35.83594365543205,0.799180327705086,0.9677419352437364,488.0,403,390.0
19,0,0,201,2000,0.03,0.8005608591946177,0.1,0.027004684485340186,35.83594365543205,0.799180327705086,0.9677419352437364,488.0,403,390.0
20,1,0,11,800,0.77,0.30241418121024,1,0.07302287131239948,4.043732464198931,0.30989583325263126,0.295285359728217,384.0,403,119.0
21,1,0,11,800,0.84,0.33880579231649766,0.1,0.05566271700039508,4.6362101304209,0.3398692809346832,0.25806451606499636,306.0,403,104.0
22,1,1,75,1000,0.11,0.5345454151834739,1,0.0,3647642.678995622,0.9999999993197279,0.3647642678995622,147.0,403,147.0
23,1,1,75,1000,0.11,0.9830494622513318,0.1,0.0,3647642.678995622,0.9999999993197279,0.3647642678995622,147.0,403,147.0
24,0,1,275,1600,0.01,0.28430332656104773,1,0.5591071920485229,1.7885654756673692,0.16570723683529165,0.9999999997518609,2432.0,403,403.0
25,0,1,275,1600,0.01,0.1670874165537635,0.1,0.5591071920485229,1.7885654756673692,0.16570723683529165,0.9999999997518609,2432.0,403,403.0
26,0,0,125,200,0.09,0.25016541419382243,1,0.25323780655130235,1.8519448235194238,0.17057761731312476,0.46898263015658,1108.0,403,189.0
27,0,0,125,200,0.1,0.17430937072569394,0.1,0.22347754201643766,1.8875992442775975,0.17329255859599466,0.4218362281831672,981.0,403,170.0
28,1,1,275,2000,0.03,0.7618146974941156,1,0.06944061724801762,14.400772909361168,0.6152671754785852,0.9999999997518609,655.0,403,403.0
29,1,1,275,2000,0.03,0.6176197737334039,0.1,0.06944061724801762,14.400772909361168,0.6152671754785852,0.9999999997518609,655.0,403,403.0
30,0,1,301,1800,0.01,0.3058823270079272,1,0.5039955910580327,1.9841439470495708,0.18055555554746616,0.9999999997518609,2232.0,403,403.0
31,0,1,301,1800,0.01,0.18203242324654761,0.1,0.5039955910580327,1.9841439470495708,0.18055555554746616,0.9999999997518609,2232.0,403,403.0
32,0,0,201,200,0.04,0.2715497694743087,1,0.42215486358715476,1.7868851408610034,0.1655773420389119,0.7543424315746048,1836.0,403,304.0
33,0,0,201,200,0.04,0.16686682248077409,0.1,0.42215486358715476,1.7868851408610034,0.1655773420389119,0.7543424315746048,1836.0,403,304.0
34,1,0,251,400,0.05,0.8924121812086642,1,0.023697988425910775,41.25512049676448,0.8208333331623263,0.9776674935539286,480.0,403,394.0
35,1,0,251,400,0.06,0.823008076709136,0.1,0.013226784237717643,42.96085178080864,0.8267148011455903,0.5682382132585017,277.0,403,229.0
36,0,0,251,1200,0.04,0.8748590257552116,1,0.026453568475435285,36.394920310680966,0.8016528923963526,0.9627791560886404,484.0,403,388.0
37,0,0,251,1200,0.04,0.8029833402700971,0.1,0.026453568475435285,36.394920310680966,0.8016528923963526,0.9627791560886404,484.0,403,388.0
38,0,1,251,200,0.03,0.3392856642385408,1,0.06833838522820782,4.829267325897158,0.3490813647377739,0.3300248138138896,381.0,403,133.0
39,0,1,251,200,0.03,0.34888180060723,0.1,0.06833838522820782,4.829267325897158,0.3490813647377739,0.3300248138138896,381.0,403,133.0
40,1,1,175,2000,0.03,0.6015999562120992,1,0.12978782033260436,7.188669629400648,0.4439197165945786,0.9330024811580638,847.0,403,376.0
41,1,1,175,2000,0.03,0.44623569021618636,0.1,0.12978782033260436,7.188669629400648,0.4439197165945786,0.9330024811580638,847.0,403,376.0
42,1,0,301,1800,0.05,0.8561403008411506,1,0.023697988425910775,38.323284522375126,0.8097345130951914,0.9081885853825834,452.0,403,366.0
43,1,0,301,1800,0.05,0.8106044768432589,0.1,0.023697988425910775,38.323284522375126,0.8097345130951914,0.9081885853825834,452.0,403,366.0
44,0,0,101,200,0.04,0.19563006290990106,1,0.8674565995903154,1.1013056764760527,0.10897254457659292,0.9553349873559962,3533.0,403,385.0
45,0,0,101,200,0.04,0.10993685643952032,0.1,0.8674565995903154,1.1013056764760527,0.10897254457659292,0.9553349873559962,3533.0,403,385.0
