,smoothing,normalization,wsize,memory,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,0,0,301,800,0.05,0.3867666809314472,0.40559440558983084,2.4655166333123244,0.23974630020634788,0.9999999999118165,4730.0,1134,1134.0
1,1,0,11,200,1.31,0.2844394436319159,0.21903902548816784,2.053219709919288,0.20799347470603616,0.4497354496957905,2452.0,1134,510.0
2,1,0,175,2000,0.09,0.38001780340801766,0.2817505075537813,2.6666233580812513,0.25432835820136335,0.7513227512564971,3350.0,1134,852.0
3,0,1,125,2000,0.1,0.28959273537124075,0.0,1693121.692972388,0.9999999994791667,0.16931216929723877,192.0,1134,192.0
4,0,1,175,1800,0.07,0.3323529134152272,0.0,1992945.326102915,0.9999999995575222,0.19929453261029148,226.0,1134,226.0
5,0,1,251,600,0.05,0.5818181359176172,0.012858109632158152,35.11368464523854,0.8178913736712634,0.45149911812597004,626.0,1134,512.0
6,1,1,75,800,0.21,0.17977526450845097,0.0,987654.3209005595,0.9999999991071429,0.09876543209005595,112.0,1134,112.0
7,1,0,175,1400,0.09,0.35819597330746605,0.2991202346007318,2.435123852868212,0.23749281195406866,0.7283950616641627,3478.0,1134,826.0
8,0,0,175,800,0.09,0.47404058850905373,0.17708098353059912,4.183059680383205,0.3485477178278611,0.7407407406754196,2410.0,1134,840.0
9,0,1,11,1200,1.48,0.026109657992987662,0.0,132275.1322634678,0.9999999933333334,0.01322751322634678,15.0,1134,15.0
10,0,1,101,1800,0.14,0.16356273799131413,0.0,890652.5572406832,0.999999999009901,0.08906525572406832,101.0,1134,101.0
11,0,0,11,1800,1.51,0.25337181938208436,0.07658470561609987,3.0283082486515855,0.27919320591515995,0.23192239856861352,942.0,1134,263.0
12,0,0,25,200,0.58,0.2689317152895814,0.21114369501228125,1.9504081492092924,0.19965797348440967,0.4118165784469297,2339.0,1134,467.0
13,0,1,75,1600,0.19,0.14857141479370387,0.0,802469.1357317046,0.9999999989010989,0.08024691357317046,91.0,1134,91.0
14,0,1,175,600,0.08,0.5560480911786735,0.0006767426122188501,571.9575177977163,0.986516853710895,0.3871252204244157,445.0,1134,439.0
