,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,0,1,301,1600,0.03,0.8433133240370585,1,0.002819760884245209,264.2505933232669,0.9712643677044525,0.7451499117508685,870.0,1134,845.0
1,0,1,301,1600,0.03,0.9683548764856854,0.1,0.002819760884245209,264.2505933232669,0.9712643677044525,0.7451499117508685,870.0,1134,845.0
2,1,1,275,1000,0.05,0.6704243562140323,1,0.09824046920710308,9.075012478564837,0.5371944739353244,0.891534391455773,1882.0,1134,1011.0
3,1,1,275,1000,0.05,0.5393167028096029,0.1,0.09824046920710308,9.075012478564837,0.5371944739353244,0.891534391455773,1882.0,1134,1011.0
4,1,1,75,1600,0.1,0.48309603537023543,1,0.06440333859616057,7.434944301596643,0.4874326750011281,0.4788359787937534,1114.0,1134,543.0
5,1,1,75,1600,0.2,0.9140262800159468,0.1,0.0,952380.9522969682,0.9999999990740741,0.09523809522969681,108.0,1134,108.0
6,0,1,251,1200,0.05,0.6217008351442486,1,0.004624407850162143,101.06418869657652,0.9281961469477765,0.4673721339975862,571.0,1134,530.0
7,0,1,251,1200,0.06,0.9668345905755148,0.1,0.0,2239858.9063280546,0.9999999996062993,0.22398589063280547,254.0,1134,254.0
8,0,1,51,1400,0.11,0.31305150608199556,1,0.0769230769222093,3.863310674048048,0.3307163885838355,0.29717813048525765,1019.0,1134,337.0
9,0,1,51,1400,0.23,0.9156081760141447,0.1,0.0,970017.6365987639,0.9999999990909092,0.09700176365987638,110.0,1134,110.0
10,0,0,125,600,0.12,0.38903443357484807,1,0.3228062260283915,2.6361627667941,0.2521557355565154,0.8509700175616428,3827.0,1134,965.0
11,0,0,125,600,0.12,0.25392484401557613,0.1,0.3228062260283915,2.6361627667941,0.2521557355565154,0.8509700175616428,3827.0,1134,965.0
12,1,0,151,600,0.1,0.3052517808023258,1,0.4926686216953229,1.7738039146199638,0.1849225601756872,0.8738977071539772,5359.0,1134,991.0
13,1,0,151,600,0.1,0.1863773775383009,0.1,0.4926686216953229,1.7738039146199638,0.1849225601756872,0.8738977071539772,5359.0,1134,991.0
14,1,0,101,1400,0.16,0.37411879100610557,1,0.2362959620997485,2.772804658653716,0.2618040873762578,0.6552028218117104,2838.0,1134,743.0
15,1,0,101,1400,0.16,0.26336972277623855,0.1,0.2362959620997485,2.772804658653716,0.2618040873762578,0.6552028218117104,2838.0,1134,743.0
16,1,0,125,2000,0.11,0.4128292856904208,1,0.26280171441165345,3.0233148487755055,0.2788610337270548,0.7945326277958965,3231.0,1134,901.0
17,1,0,125,2000,0.13,0.28295523687942237,0.1,0.2441912925756351,3.0587219815690325,0.2812084993266531,0.7469135801810481,3012.0,1134,847.0
18,0,0,251,1800,0.05,0.40575669285508364,1,0.2594180013505592,2.9709688721642897,0.27536231883190415,0.7707231039884723,3174.0,1134,874.0
19,0,0,251,1800,0.06,0.30216482330956557,0.1,0.17099030002062945,3.3625040246070736,0.30073800736620215,0.57495590823854,2168.0,1134,652.0
20,0,1,201,600,0.06,0.6282548008656812,1,0.011730205278460068,42.624636621694755,0.8450074514388961,0.49999999995590827,671.0,1134,567.0
21,0,1,201,600,0.07,0.9776764944198796,0.1,0.0,3024691.3577579637,0.9999999997084548,0.30246913577579637,343.0,1134,343.0
22,1,1,225,1400,0.06,0.46654440466369396,1,0.0607940446643267,7.383171816283201,0.4856870228544191,0.4488536154807007,1048.0,1134,509.0
23,1,1,225,1400,0.06,0.48529262242818305,0.1,0.0607940446643267,7.383171816283201,0.4856870228544191,0.4488536154807007,1048.0,1134,509.0
24,1,1,151,1400,0.09,0.6018171622349201,1,0.019625535754346654,25.29715058966134,0.7639077339533369,0.4964726630955491,737.0,1134,563.0
25,1,1,151,1400,0.09,0.7598549952225896,0.1,0.019625535754346654,25.29715058966134,0.7639077339533369,0.4964726630955491,737.0,1134,563.0
26,1,0,101,1800,0.07,0.49877855434505447,1,0.25332731784058954,3.909169532407232,0.33333333332343923,0.9902998235458289,3369.0,1134,1123.0
27,1,0,101,1800,0.08,0.33592949576102615,0.1,0.25107150913319337,3.9161940819182766,0.3337324154344887,0.9832451498251106,3341.0,1134,1115.0
28,0,1,251,1600,0.03,0.7320846407871072,1,0.047710354161428936,16.61625262847788,0.6800302571346422,0.792768959365717,1322.0,1134,899.0
29,0,1,251,1600,0.04,0.9781262564192458,0.1,0.0,3068783.068512453,0.9999999997126436,0.3068783068512453,348.0,1134,348.0
30,1,0,151,1800,0.05,0.4680148217456242,1,0.29077374238336595,3.4390988945745096,0.30549568964694246,0.9999999999118165,3712.0,1134,1134.0
31,1,0,151,1800,0.07,0.3084581602355135,0.1,0.23934130385473332,3.4559858028419446,0.3065359477024008,0.8271604937542186,3060.0,1134,938.0
32,0,1,275,1400,0.03,0.8318840083481089,1,0.008459282652735626,89.75350688820929,0.919871794773518,0.7592592591923051,936.0,1134,861.0
33,0,1,275,1400,0.03,0.9179490855915668,0.1,0.008459282652735626,89.75350688820929,0.919871794773518,0.7592592591923051,936.0,1134,861.0
34,1,0,125,2000,0.13,0.4235352127522722,1,0.23020527858977885,3.267536971027943,0.294747753963554,0.7522045854715869,2894.0,1134,853.0
35,1,0,125,2000,0.13,0.29653324081970084,0.1,0.23020527858977885,3.267536971027943,0.294747753963554,0.7522045854715869,2894.0,1134,853.0
36,1,0,11,2000,0.55,0.42040354405792335,1,0.18993909316275726,3.4820389110035435,0.30813475758799774,0.6613756613173389,2434.0,1134,750.0
37,1,0,11,2000,1.51,0.3608269056819243,0.1,0.10545905707077081,4.398335905775856,0.36002737848322874,0.46384479713722704,1461.0,1134,526.0
38,1,1,101,1000,0.11,0.5841295720542312,1,0.06429054816079076,9.642606987841793,0.5522388059267683,0.6199294532081191,1273.0,1134,703.0
39,1,1,101,1000,0.12,0.5533105635946653,0.1,0.039589442814802735,9.778471608913543,0.5556962024613044,0.3871252204244157,790.0,1134,439.0
