,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
0,0,1,241,200,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0871560531,0.4029990639,20
1,0,1,241,200,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0871560531,0.4029990639,20
2,0,1,3601,400,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0977928685,0.4576494203,20
3,0,1,3601,400,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0977928685,0.4576494203,20
4,0,1,1801,800,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1169142961,0.5351294905,8
5,0,1,1801,800,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1169142961,0.5351294905,8
6,0,1,1801,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1061320948,0.5194337507,1
7,0,1,1801,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1061320948,0.5194337507,1
8,0,1,1201,400,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1269441936,0.4740135746,1
9,0,1,1201,400,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1269441936,0.4740135746,1
10,0,0,1801,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0802672734,0.344254228,5
11,0,0,1801,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0802672734,0.344254228,5
12,0,0,1201,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0891120914,0.4208345021,1
13,0,0,1201,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0891120914,0.4208345021,1
14,0,0,1801,800,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0803112639,0.3510037715,20
15,0,0,1801,800,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0803112639,0.3510037715,20
16,0,0,601,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1505379009,0.4139375868,3
17,0,0,601,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1505379009,0.4139375868,3
18,0,1,3601,400,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1132351882,0.5241368792,45
19,0,1,3601,400,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1132351882,0.5241368792,45
20,0,1,3601,200,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0856883787,0.3704796493,45
21,0,1,3601,200,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0856883787,0.3704796493,45
22,0,0,2401,800,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1016961153,0.39786118,8
23,0,0,2401,800,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1016961153,0.39786118,8
24,0,0,601,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1412779907,0.4000322611,45
25,0,0,601,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1412779907,0.4000322611,45
0,0,1,1801,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1991435755,0.6545194486,20
1,0,1,1801,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1991435755,0.6545194486,20
2,0,0,3601,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1121726714,0.4497329555,8
3,0,0,3601,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1121726714,0.4497329555,8
4,0,1,3001,200,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1061960597,0.4928949303,1
5,0,1,3001,200,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1061960597,0.4928949303,1
6,0,1,3601,200,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1034061884,0.4240307807,3
7,0,1,3601,200,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1034061884,0.4240307807,3
8,0,0,1201,400,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0934813937,0.4000361639,5
9,0,0,1201,400,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0934813937,0.4000361639,5
10,0,0,1801,400,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.086612119,0.3755086267,1
11,0,0,1801,400,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.086612119,0.3755086267,1
12,0,1,3601,200,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0793387285,0.3034355916,8
13,0,1,3601,200,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0793387285,0.3034355916,8
14,0,1,1201,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1301977019,0.5347090761,1
15,0,1,1201,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1301977019,0.5347090761,1
16,0,1,2401,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1215448397,0.4927866267,5
