,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
0,1,1,275,1800,0.02,0.40649012944829427,1,0.038859135632845196,9.862592810491941,0.43272727264859506,0.3832528179737113,550.0,621,238.0,0.33453811414067836,0.8776692942190839,8
1,1,1,275,1800,0.02,0.4321747863857837,0.1,0.038859135632845196,9.862592810491941,0.43272727264859506,0.3832528179737113,550.0,621,238.0,0.33453811414067836,0.8776692942190839,8
2,1,1,51,1000,0.07,0.32350307833897524,1,0.03948187819106387,7.3822384725630075,0.36345381518806147,0.29146537837496533,498.0,621,181.0,0.3519499224041184,0.7065132654192963,8
3,1,1,51,1000,0.09,0.9022495083177842,0.1,0.0,837359.0980938231,0.9999999980769231,0.08373590980938231,52.0,621,52.0,0.3519499224041184,0.7065132654192963,8
4,0,0,125,1800,0.03,0.5681444491051082,1,0.031261676422577385,17.822591201873585,0.5795644890151483,0.5571658614239668,597.0,621,346.0,0.6241202336508604,0.9265989090673523,1
5,0,0,125,1800,0.03,0.5793337939792215,0.1,0.031261676422577385,17.822591201873585,0.5795644890151483,0.5571658614239668,597.0,621,346.0,0.6241202336508604,0.9265989090673523,1
6,0,1,175,1200,0.02,0.4396984580487262,1,0.0,2818035.426277289,0.9999999994285714,0.2818035426277289,175.0,621,175.0,0.7465689550621868,0.9634294683383042,45
7,0,1,175,1200,0.02,0.9753873369567475,0.1,0.0,2818035.426277289,0.9999999994285714,0.2818035426277289,175.0,621,175.0,0.7465689550621868,0.9634294683383042,45
8,0,1,251,200,0.01,0.1389572481988661,1,0.9585253456101815,1.0432691217731689,0.07466634603733718,0.9999999998389695,8317.0,621,621.0,0.1367751813146682,0.6378915481299773,8
9,0,1,251,200,0.01,0.0753567358408825,0.1,0.9585253456101815,1.0432691217731689,0.07466634603733718,0.9999999998389695,8317.0,621,621.0,0.1367751813146682,0.6378915481299773,8
10,1,0,275,400,0.02,0.3688780488072804,1,0.21509527960872968,3.97531767156434,0.23516386181420887,0.8550724636304231,2258.0,621,531.0,0.24402777756598873,0.8508406222291215,5
11,1,0,275,400,0.03,0.31957618783282415,0.1,0.05492589363488696,6.068772018863132,0.31944444439514746,0.3333333332796565,648.0,621,207.0,0.24402777756598873,0.8508406222291215,5
12,0,0,275,1400,0.01,0.21321886506407878,1,0.5708058288632357,1.7519089225833324,0.11933128362568542,0.9999999998389695,5204.0,621,621.0,0.16001625986164963,0.7652208409571664,20
13,0,0,275,1400,0.01,0.12038093231205735,0.1,0.5708058288632357,1.7519089225833324,0.11933128362568542,0.9999999998389695,5204.0,621,621.0,0.16001625986164963,0.7652208409571664,20
14,1,1,151,1800,0.03,0.6702355013322573,1,0.0,5040257.648141666,0.9999999996805111,0.5040257648141666,313.0,621,313.0,0.7097832308083435,0.9298068856273625,20
15,1,1,151,1800,0.03,0.9903509864953423,0.1,0.0,5040257.648141666,0.9999999996805111,0.5040257648141666,313.0,621,313.0,0.7097832308083435,0.9298068856273625,20
16,0,0,101,200,0.04,0.287694924244367,1,0.0457093037732506,5.848048036962276,0.3114446528496352,0.26731078900687427,533.0,621,166.0,0.1560804399603511,0.5861735307738112,3
17,0,0,101,200,0.04,0.3109362548357164,0.1,0.0457093037732506,5.848048036962276,0.3114446528496352,0.26731078900687427,533.0,621,166.0,0.1560804399603511,0.5861735307738112,3
18,0,0,251,600,0.01,0.16719987293020055,1,0.7431809689781644,1.302231610948031,0.09150426309239489,0.9677938806815147,6568.0,621,601.0,0.16463573992973707,0.733467589007561,5
19,0,0,251,600,0.01,0.0923319968983235,0.1,0.7431809689781644,1.302231610948031,0.09150426309239489,0.9677938806815147,6568.0,621,601.0,0.16463573992973707,0.733467589007561,5
20,1,0,125,1600,0.06,0.8157155732336012,1,0.0014945821397248152,469.7275621168358,0.9732142854970504,0.7020933976325132,448.0,621,436.0,0.8861988650565582,0.9863826960601154,5
21,1,0,125,1600,0.06,0.9695073601167206,0.1,0.0014945821397248152,469.7275621168358,0.9732142854970504,0.7020933976325132,448.0,621,436.0,0.8861988650565582,0.9863826960601154,5
22,1,1,225,1400,0.02,0.3806146180756094,1,0.007971104745199015,32.52447622470871,0.7155555552375309,0.2592592592175106,225.0,621,161.0,0.5594858460080987,0.9398769637198809,20
23,1,1,225,1400,0.02,0.7032997659815499,0.1,0.007971104745199015,32.52447622470871,0.7155555552375309,0.2592592592175106,225.0,621,161.0,0.5594858460080987,0.9398769637198809,20
24,0,0,75,400,0.04,0.325100471014407,1,0.10424710424580587,4.371499354586472,0.2526785714060108,0.4557165860779845,1120.0,621,283.0,0.23672185228758694,0.7322535920011375,45
25,0,0,75,400,0.05,0.31517106206956597,0.1,0.023664217212309574,6.056258837509311,0.3189964156562737,0.14331723025067356,279.0,621,89.0,0.23672185228758694,0.7322535920011375,45
26,0,0,225,1600,0.01,0.16190847162327543,1,0.8007223813575698,1.2488721412486614,0.0880851063817293,0.9999999998389695,7050.0,621,621.0,0.17010158899592615,0.7118073794090625,5
27,0,0,225,1600,0.01,0.08888765177414334,0.1,0.8007223813575698,1.2488721412486614,0.0880851063817293,0.9999999998389695,7050.0,621,621.0,0.17010158899592615,0.7118073794090625,5
28,1,0,225,1000,0.04,0.4219047202111152,1,0.12903225806290905,5.528578645286981,0.299526707214366,0.7133655393376224,1479.0,621,443.0,0.36295881332601004,0.851932377177819,1
29,1,0,225,1000,0.04,0.3012570192166983,0.1,0.12903225806290905,5.528578645286981,0.299526707214366,0.7133655393376224,1479.0,621,443.0,0.36295881332601004,0.851932377177819,1
30,1,0,125,400,0.05,0.7084506549112313,1,0.03686635944654544,21.97075360557537,0.6295369210726487,0.8099838968099865,799.0,621,503.0,0.6277974573247209,0.9478369373180032,5
31,1,0,125,400,0.05,0.6309285002657758,0.1,0.03686635944654544,21.97075360557537,0.6295369210726487,0.8099838968099865,799.0,621,503.0,0.6277974573247209,0.9478369373180032,5
32,0,0,225,1400,0.01,0.1577944207302104,1,0.8256320836863167,1.211193094937419,0.08565517241261165,0.9999999998389695,7250.0,621,621.0,0.16873546321381505,0.7835202463533459,5
33,0,0,225,1400,0.01,0.0864376771515645,0.1,0.8256320836863167,1.211193094937419,0.08565517241261165,0.9999999998389695,7250.0,621,621.0,0.16873546321381505,0.7835202463533459,5
34,0,1,11,600,0.14,0.14328563505645966,1,0.9248972474663733,1.0812010679653579,0.07717161675062544,0.9999999998389695,8047.0,621,621.0,0.09161249558058653,0.46981734288887167,5
35,0,1,11,600,0.5700000000000001,0.7142836195589004,0.1,0.0,241545.89368091052,0.9999999933333334,0.02415458936809105,15.0,621,15.0,0.09161249558058653,0.46981734288887167,5
36,1,0,301,200,0.03,0.2953817608631013,1,0.1548137999731621,3.359703647302092,0.20625798210688007,0.520128824392894,1566.0,621,323.0,0.18741898261975787,0.7550044534616766,1
37,1,0,301,200,0.03,0.20749768638145888,0.1,0.1548137999731621,3.359703647302092,0.20625798210688007,0.520128824392894,1566.0,621,323.0,0.18741898261975787,0.7550044534616766,1
38,1,0,225,800,0.02,0.4145872841096279,1,0.07697098019582799,6.778378697861202,0.3439490445494746,0.5217391303507667,942.0,621,324.0,0.3218607273632228,0.853075275235163,20
39,1,0,225,800,0.03,0.5067252234438695,0.1,0.013575787769167073,13.759357346594948,0.5155555553264197,0.18679549111323746,225.0,621,116.0,0.3218607273632228,0.853075275235163,20
40,0,0,201,1600,0.01,0.16190847162327543,1,0.8007223813575698,1.2488721412486614,0.0880851063817293,0.9999999998389695,7050.0,621,621.0,0.12299295337875824,0.6962127424960525,1
41,0,0,201,1600,0.01,0.08888765177414334,0.1,0.8007223813575698,1.2488721412486614,0.0880851063817293,0.9999999998389695,7050.0,621,621.0,0.12299295337875824,0.6962127424960525,1
42,0,0,125,2000,0.03,0.2691175973956623,1,0.06924897247391644,4.255450358583619,0.24763193501385225,0.2946859902907108,739.0,621,183.0,0.3159386084789987,0.9070004687115486,45
43,0,0,125,2000,0.03,0.24802396341519636,0.1,0.06924897247391644,4.255450358583619,0.24763193501385225,0.2946859902907108,739.0,621,183.0,0.3159386084789987,0.9070004687115486,45
44,0,1,11,800,0.15,0.14661785915188963,1,0.9003611906725575,1.1106652520478566,0.07910828025376933,0.9999999998389695,7850.0,621,621.0,0.09057492092482736,0.4769017665230849,5
45,0,1,11,800,0.55,0.7142836195589004,0.1,0.0,241545.89368091052,0.9999999933333334,0.02415458936809105,15.0,621,15.0,0.09057492092482736,0.4769017665230849,5
46,0,1,251,1000,0.01,0.15135265478536933,1,0.8673558350869678,1.1529292178518404,0.0818721160173781,0.9999999998389695,7585.0,621,621.0,0.4900585687496054,0.8916979492014555,5
47,0,1,251,1000,0.01,0.0826231835665158,0.1,0.8673558350869678,1.1529292178518404,0.0818721160173781,0.9999999998389695,7585.0,621,621.0,0.4900585687496054,0.8916979492014555,5
48,0,0,51,200,0.07,0.2093862320912419,1,0.07709552870747172,3.0286329822603513,0.18979057589138867,0.23349436389154682,764.0,621,145.0,0.2114427795797661,0.588014983526905,3
49,0,0,51,200,0.1,0.3668833015845316,0.1,0.014945821397248153,7.7574360178412505,0.3749999998046875,0.11594202896683704,192.0,621,72.0,0.2114427795797661,0.588014983526905,3
50,0,0,275,1800,0.01,0.1780644999028249,1,0.7140366172535305,1.4004882041435736,0.0977337110466205,0.9999999998389695,6354.0,621,621.0,0.34753700486880545,0.8418330171485852,1
51,0,0,275,1800,0.01,0.09861465853018782,0.1,0.7140366172535305,1.4004882041435736,0.0977337110466205,0.9999999998389695,6354.0,621,621.0,0.34753700486880545,0.8418330171485852,1
52,0,1,11,2000,0.2,0.17083904901993788,1,0.7507784281884322,1.3319507182123183,0.09339750338256284,0.9999999998389695,6649.0,621,621.0,0.10578588510286671,0.5852277843862697,3
53,0,1,11,2000,0.75,0.6655660956135605,0.1,0.0,193236.7149447284,0.9999999916666668,0.01932367149447284,12.0,621,12.0,0.10578588510286671,0.5852277843862697,3
54,0,1,275,1200,0.01,0.21390372240022854,1,0.5050442147153439,1.7855291310763381,0.12134344528447794,0.9017713364087325,4615.0,621,560.0,0.21070053919746085,0.8054643503451357,3
55,0,1,275,1200,0.01,0.12239217377070725,0.1,0.5050442147153439,1.7855291310763381,0.12134344528447794,0.9017713364087325,4615.0,621,560.0,0.21070053919746085,0.8054643503451357,3
56,1,0,251,600,0.02,0.4904214140999599,1,0.11894382861976655,6.931641320394613,0.3490115882516011,0.8244766504308412,1467.0,621,512.0,0.41095769965509,0.8918497740377123,20
57,1,0,251,600,0.03,0.45550304711069906,0.1,0.01681404907190417,11.109422803046625,0.4621513942381867,0.18679549111323746,251.0,621,116.0,0.41095769965509,0.8918497740377123,20
58,1,0,175,1200,0.03,0.44660190702792796,1,0.19168015941970756,5.217021319077757,0.28749999998668985,0.9999999998389695,2160.0,621,621.0,0.4788380064902492,0.9353328483763267,3
59,1,0,175,1200,0.04,0.3709320203614215,0.1,0.06875077842734151,7.588835841598155,0.36986301365640833,0.5217391303507667,876.0,621,324.0,0.4788380064902492,0.9353328483763267,3
60,0,1,25,1000,0.15,0.19999995353291375,1,0.032507161539014735,4.854607136996974,0.2729805013167185,0.1578099838715282,359.0,621,98.0,0.1670183051402828,0.5690868187361876,20
61,0,1,25,1000,0.19,0.8367839809776144,0.1,0.0,483091.78736182104,0.9999999966666666,0.0483091787361821,30.0,621,30.0,0.1670183051402828,0.5690868187361876,20
62,1,0,301,1600,0.02,0.25352108267802426,1,0.023041474654090902,8.176776105779723,0.38741721841476245,0.1884057970711102,302.0,621,117.0,0.30213592166184167,0.7291214275786505,45
63,1,0,301,1600,0.02,0.3834072174947216,0.1,0.023041474654090902,8.176776105779723,0.38741721841476245,0.1884057970711102,302.0,621,117.0,0.30213592166184167,0.7291214275786505,45
64,1,0,11,1200,0.28,0.18646229769180392,1,0.36480259060449866,1.6111769177184374,0.11080752883695182,0.5877616746235489,3294.0,621,365.0,0.11298592651964846,0.6208592884609714,1
65,1,0,11,1200,0.59,0.2537848061526083,0.1,0.013700336280810807,4.583936676892455,0.2617449662672853,0.06280193235703672,149.0,621,39.0,0.11298592651964846,0.6208592884609714,1
66,0,1,275,200,0.01,0.1550948907842639,1,0.8426952297815083,1.1866684963096292,0.08406660349148413,0.9999999998389695,7387.0,621,621.0,0.12378687847322235,0.6798294989038327,8
67,0,1,275,200,0.01,0.08483594234752169,0.1,0.8426952297815083,1.1866684963096292,0.08406660349148413,0.9999999998389695,7387.0,621,621.0,0.12378687847322235,0.6798294989038327,8
68,0,1,75,1200,0.05,0.4495504023588849,1,0.019305019304778865,18.768018720903523,0.5921052630020776,0.36231884052136576,380.0,621,225.0,0.35874256632832374,0.8218102895522251,20
69,0,1,75,1200,0.05,0.5884102903293525,0.1,0.019305019304778865,18.768018720903523,0.5921052630020776,0.36231884052136576,380.0,621,225.0,0.35874256632832374,0.8218102895522251,20
70,1,1,175,1000,0.03,0.44360898792375947,1,0.0,2850241.545434744,0.9999999994350283,0.2850241545434744,177.0,621,177.0,0.6206981082416195,0.9038888618131256,8
71,1,1,175,1000,0.03,0.9757651837041086,0.1,0.0,2850241.545434744,0.9999999994350283,0.2850241545434744,177.0,621,177.0,0.6206981082416195,0.9038888618131256,8
72,0,0,11,400,0.23,0.14282181735348948,1,0.39070868102639544,1.191113290575829,0.0843549328638542,0.4653784218252209,3426.0,621,289.0,0.10409709377196304,0.5311657078838005,3
73,0,0,11,400,0.48,0.39489177671850884,0.1,0.008344750280130219,9.069591122590829,0.41228070139273626,0.07568438002001862,114.0,621,47.0,0.10409709377196304,0.5311657078838005,3
74,1,0,101,1800,0.06,0.6671407756209453,1,0.039357329679420135,19.189095944373175,0.5974522292232545,0.7552334942423135,785.0,621,469.0,0.6450547529330743,0.9525345822681026,1
75,1,0,101,1800,0.09,0.711248173836371,0.1,0.012828496699304665,32.636426170416975,0.7162534433288558,0.4186795490469115,363.0,621,260.0,0.6450547529330743,0.9525345822681026,1
76,0,0,201,200,0.01,0.13691984172366325,1,0.9750902976587983,1.0255459414224357,0.0734911242594853,0.9999999998389695,8450.0,621,621.0,0.07977765549713975,0.503695340301231,8
77,0,0,201,200,0.01,0.07417151860201854,0.1,0.9750902976587983,1.0255459414224357,0.0734911242594853,0.9999999998389695,8450.0,621,621.0,0.07977765549713975,0.503695340301231,8
