,smoothing,normalization,wsize,memory,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,1,1,151,1600,0.06,0.09116385198903557,0.034375389213670754,1.3116487314602463,0.09210526312759694,0.045088566820436625,304.0,621,28.0
1,0,1,201,1800,0.01,0.09148056102811554,0.7758126790288229,1.2889707760302536,0.09065693430524589,0.9999999998389695,6850.0,621,621.0
2,0,1,251,400,0.01,0.15200630538873433,0.4357952422414274,2.2946550890050057,0.1507281553361474,0.9999999998389695,4120.0,621,621.0
3,0,0,101,2000,0.11,0.9520371572159388,0.0,1642512.0770301914,0.9999999990196079,0.16425120770301913,102.0,621,102.0
4,1,1,201,400,0.04,0.07282364043121738,0.1803462448601277,1.0089728925792567,0.07238949390952021,0.18196457323961923,1561.0,621,113.0
5,0,0,51,600,0.26,0.9003660897802611,0.0,821256.0385150957,0.9999999980392157,0.08212560385150956,51.0,621,51.0
6,0,0,151,1200,0.05,0.9423189688901614,0.0007472910698624076,366.276804576702,0.9659090903602789,0.27375201283836526,176.0,621,170.0
7,0,0,151,400,0.05,0.37373601694632547,0.026155187445184268,7.819025391269095,0.3768545992947019,0.20450885664983756,337.0,621,127.0
8,1,0,301,1400,0.05,0.25765680816892433,0.18906464067518913,4.445988749714438,0.2558823529286332,0.8405797100095685,2040.0,621,522.0
9,1,1,51,1000,0.2,0.9003660897802611,0.0,821256.0385150957,0.9999999980392157,0.08212560385150956,51.0,621,51.0
10,1,1,51,1400,0.22,0.9022495083177842,0.0,837359.0980938231,0.9999999980769231,0.08373590980938231,52.0,621,52.0
11,0,1,151,1200,0.02,0.2612387433674307,0.19342383858271986,4.528945318255604,0.25941821648739066,0.8760064410827687,2097.0,621,544.0
12,1,1,225,1600,0.05,0.08615283594474352,0.05131398679721866,1.223873136536861,0.0864745010894735,0.06280193235703672,451.0,621,39.0
13,0,1,201,1800,0.01,0.09148056102811554,0.7758126790288229,1.2889707760302536,0.09065693430524589,0.9999999998389695,6850.0,621,621.0
14,0,0,201,200,0.05,0.6791912871479798,0.009963880931498768,28.605449619281988,0.68871595303941,0.2850241545434744,257.0,621,177.0
15,0,0,125,200,0.08,0.5657360951640318,0.01644040353697297,17.23875719184839,0.5714285712430426,0.28341384858560165,308.0,621,176.0
16,0,1,125,1600,0.02,0.08888765177414334,0.8007223813575698,1.2488721412486614,0.0880851063817293,0.9999999998389695,7050.0,621,621.0
17,1,0,151,1800,0.11,0.9051438891987459,0.00460829493081818,130.3369462260674,0.9097560973390838,0.6006441222865307,410.0,621,373.0
18,1,0,251,1400,0.06,0.23915085624312782,0.20637688379366825,4.026213868369488,0.2374597330769692,0.8309178742623321,2173.0,621,516.0
19,1,1,51,600,0.22,0.9040693086638205,0.0,853462.1576725504,0.9999999981132075,0.08534621576725504,53.0,621,53.0
20,1,1,125,600,0.08,0.4888175276136237,0.01569311246711056,12.723840908590216,0.49599999980160003,0.19967793877621934,250.0,621,124.0
21,1,1,11,600,0.8,0.0781234794340932,0.015568563955466826,1.1377575871165349,0.08088235288170416,0.017713365536600103,136.0,621,11.0
22,1,0,201,2000,0.08,0.673587105884395,0.031137127910933652,26.53052348628114,0.6723460025331133,0.8260869563887139,763.0,621,513.0
23,1,1,51,400,0.19,0.9530890183913429,0.0,1674718.1961876461,0.9999999990384616,0.16747181961876462,104.0,621,104.0
24,1,1,251,400,0.03,0.1780964884481537,0.24648150454295079,2.776596790518929,0.17678868551677251,0.684380032095913,2404.0,621,425.0
25,0,1,275,1000,0.01,0.20101529620875974,0.3104994395278304,3.220616691926973,0.19942196531151504,0.9999999998389695,3114.0,621,621.0
26,0,0,75,1600,0.16,0.940471582992207,0.0,1352657.0046130987,0.9999999988095238,0.13526570046130987,84.0,621,84.0
27,0,0,301,1000,0.02,0.6529150820694382,0.013326690745879603,25.012273369919683,0.6592356685798612,0.3333333332796565,314.0,621,207.0
28,0,0,75,800,0.18,0.9327661861964089,0.0,1207729.4684045527,0.9999999986666668,0.12077294684045525,75.0,621,75.0
29,0,1,225,2000,0.01,0.09422928923937278,0.750902976700076,1.3317297942546416,0.09338345864521228,0.9999999998389695,6650.0,621,621.0
30,1,1,75,200,0.14,0.9346225437512687,0.0,1239935.5875620071,0.9999999987012987,0.12399355875620072,77.0,621,77.0
31,0,1,201,800,0.01,0.07983619802939598,0.9003611906725575,1.1106652520478566,0.07910828025376933,0.9999999998389695,7850.0,621,621.0
32,1,0,201,1000,0.08,0.2811019566202066,0.1649022294163046,5.009552983955817,0.2792596624779935,0.8260869563887139,1837.0,621,513.0
33,1,0,101,600,0.15,0.3097215295541708,0.08145472661500243,5.772639378649607,0.30866807607730784,0.4702093396988391,946.0,621,292.0
34,0,0,225,1400,0.04,0.8631007986386682,0.003487358326024569,92.81014058779604,0.8777292572586335,0.3236714975324201,229.0,621,201.0
35,1,1,175,1800,0.05,0.3750033174073775,0.02727612404997788,7.851918652840355,0.3778409089835679,0.21417069239707398,352.0,621,133.0
