,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,0,0,101,2000,0.05,0.6459718645056411,1,0.03674181093490171,19.15261579173681,0.5969945354375691,0.7037037035903859,732.0,621,437.0
1,0,0,101,2000,0.06,0.9825615911737013,0.1,0.0002490970232874692,1899.8218572958003,0.9932432429076881,0.47342995161458457,296.0,621,294.0
2,1,1,151,400,0.04,0.19808138339573209,1,0.35546145223121856,1.7305299885351728,0.11804697156619139,0.6151368759073854,3236.0,621,382.0
3,1,1,151,400,0.05,0.1434365844079281,0.1,0.13015319466770267,2.152794037102356,0.14273995076761772,0.2801932366698562,1219.0,621,174.0
4,0,1,11,1800,0.19,0.1662427902677607,1,0.7758126790288229,1.2889707760302536,0.09065693430524589,0.9999999998389695,6850.0,621,621.0
5,0,1,11,1800,0.73,0.6655660956135605,0.1,0.0,193236.7149447284,0.9999999916666668,0.01932367149447284,12.0,621,12.0
6,0,1,125,1800,0.03,0.34620503120030166,1,0.0,2093397.7452345577,0.9999999992307693,0.20933977452345576,130.0,621,130.0
7,0,1,125,1800,0.03,0.9639522798708187,0.1,0.0,2093397.7452345577,0.9999999992307693,0.20933977452345576,130.0,621,130.0
8,1,0,101,600,0.14,0.45193167581240284,1,0.13725245983139553,5.901411950385413,0.3133956386097573,0.8099838968099865,1605.0,621,503.0
9,1,0,101,600,0.14,0.3153095732331004,0.1,0.13725245983139553,5.901411950385413,0.3133956386097573,0.8099838968099865,1605.0,621,503.0
10,1,1,101,1400,0.05,0.4871550487132946,1,0.12068750778277884,6.83149385075878,0.34571235649252446,0.8244766504308412,1481.0,621,512.0
11,1,1,101,1400,0.06,0.38245374138255206,0.1,0.07933740191705894,7.956387839713229,0.3809523809153593,0.6312399354861128,1029.0,621,392.0
12,0,0,175,2000,0.04,0.4722221816832275,1,0.0048573919541056495,67.62798961064287,0.8395061724940304,0.32850241540603825,243.0,621,204.0
13,0,0,175,2000,0.05,0.9770250734875313,0.1,0.0,2962962.962485836,0.9999999994565217,0.29629629624858356,184.0,621,184.0
14,1,1,51,1600,0.09,0.40824206399379626,1,0.07659733466089678,6.664283091275019,0.3401287553283124,0.5104669886456575,932.0,621,317.0
15,1,1,51,1600,0.17,0.9573856257835469,0.1,0.0,1819645.7323961924,0.9999999991150443,0.18196457323961923,113.0,621,113.0
16,0,0,11,1800,0.33,0.26901315161786515,1,0.09415867480266336,3.6598338891620554,0.22061855667828675,0.3446054749847656,970.0,621,214.0
17,0,0,11,1800,1.17,0.6455525767567579,0.1,0.0,177133.65536600104,0.9999999909090911,0.017713365536600103,11.0,621,11.0
18,0,0,301,2000,0.01,0.3145099760111871,1,0.3371528210195896,2.9660131575157447,0.18659855768670078,0.9999999998389695,3328.0,621,621.0
19,0,0,301,2000,0.01,0.18811350736061175,0.1,0.3371528210195896,2.9660131575157447,0.18659855768670078,0.9999999998389695,3328.0,621,621.0
20,0,0,151,1800,0.04,0.4742267629480084,1,0.005604683023968058,59.47301293452465,0.8214285711026077,0.3333333332796565,252.0,621,207.0
