,smoothing,normalization,precision,lag_size,fut_size,chunk_size,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
0,1,0,8,1800,80,5,0.01,0.208935955490702,1,0.9685314685205444,1.0324908680460885,0.11665466515670553,0.9999999999118165,9721.0,1134,1134.0,0.11956571732357255,0.4882644237482947,45
1,1,0,8,1800,80,5,0.76,0.20452995932133292,0.1,0.01782088878842972,2.1277647216455016,0.21393034815227346,0.037918871248860765,201.0,1134,43.0,0.11956571732357255,0.4882644237482947,45
2,0,0,1,1200,1000,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1134,0.0,0.1134,0.5,3
3,0,0,1,1200,1000,2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1134,0.0,0.1134,0.5,3
4,0,1,16,2000,1200,25,0.01,0.21530280971827398,1,0.9323257387668359,1.0725863837845486,0.12063829787105702,0.9999999999118165,9400.0,1134,1134.0,0.10839431200272713,0.5120987137116169,45
5,0,1,16,2000,1200,25,0.18,0.12970372514827874,0.1,0.378411910665707,1.155855941028595,0.12879771487590763,0.4373897706845335,3851.0,1134,496.0,0.10839431200272713,0.5120987137116169,45
6,0,1,4,1000,500,2,0.11,0.49361928941984107,1,0.1849763140064857,4.333456812977839,0.356610435450898,0.8015873015166148,2549.0,1134,909.0,0.3179752240755769,0.7928912982676425,8
7,0,1,4,1000,500,2,0.7000000000000001,0.44374232813671544,0.1,0.01714414617621087,6.583828671809208,0.4571428569795918,0.11287477953149251,280.0,1134,128.0,0.3179752240755769,0.7928912982676425,8
8,1,1,2,1000,80,50,0.03,0.208935955490702,1,0.9685314685205444,1.0324908680460885,0.11665466515670553,0.9999999999118165,9721.0,1134,1134.0,0.11277882652274787,0.3123417800837156,20
9,1,1,2,1000,80,50,0.61,0.3588732020010527,0.1,0.029212722760780362,4.49779533885989,0.3651960783418637,0.13139329804837802,408.0,1134,149.0,0.11277882652274787,0.3123417800837156,20
10,0,1,256,800,100,35,0.99,0.20932162407893193,1,0.9662756598131482,1.0349012585239536,0.11689516544565616,0.9999999999118165,9701.0,1134,1134.0,0.11689516544686115,0.5168621700879765,20
