,smoothing,normalization,precision,lag_size,fut_size,chunk_size,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
0,1,1,22,5000,1200,18,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1085635637,0.4981800503,3
1,1,1,22,5000,1200,18,0.66,0.2770351163,0.1,0.000717427,8.4685165684,0.4999999997,0.0060763889,154,12672,77,0.1085635637,0.4981800503,3
2,1,1,24,10000,1800,20,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1094097518,0.4846403342,45
3,1,1,24,10000,1800,20,0.65,0.2770351163,0.1,0.000717427,8.4685165684,0.4999999997,0.0060763889,154,12672,77,0.1094097518,0.4846403342,45
4,1,0,14,8000,1200,10,0.05,0.2784485591,1,0.2452482111,2.0294186234,0.1932943087,0.4977114899,32629,12672,6307,0.1701401735,0.6616825866,5
5,1,0,14,8000,1200,10,0.37,0.2197577127,0.1,0.0243831992,2.4693742012,0.225739645,0.0602114899,3380,12672,763,0.1701401735,0.6616825866,5
6,1,1,20,8000,600,20,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1016595991,0.4985346997,3
7,1,1,20,8000,600,20,0.04,0.1093370432,0.1,0.2750447227,1.0326025851,0.10866874,0.2840119949,33119,12672,3599,0.1016595991,0.4985346997,3
8,0,1,10,8000,1200,12,0.02,0.2164022098,1,0.3648069469,1.36020432,0.1383741913,0.4962121212,45442,12672,6288,0.1304517141,0.5697333893,20
9,0,1,10,8000,1200,12,0.63,0.1801378111,0.1,0.0021243292,2.8602454746,0.2524590163,0.0060763889,305,12672,77,0.1304517141,0.5697333893,20
10,1,0,14,1400,240,8,0.04,0.2665230087,1,0.2792840638,1.8527367188,0.1794864776,0.5174400252,36532,12672,6557,0.1675671687,0.6609202197,1
11,1,0,14,1400,240,8,0.3,0.2176108165,0.1,0.0299642218,2.4176479695,0.2220609579,0.0724431818,4134,12672,918,0.1675671687,0.6609202197,1
12,0,1,24,8000,1800,18,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1082586891,0.4848419168,3
13,0,1,24,8000,1800,18,0.66,0.2770351163,0.1,0.000717427,8.4685165684,0.4999999997,0.0060763889,154,12672,77,0.1082586891,0.4848419168,3
14,1,0,24,1000,240,10,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1053209866,0.4803681456,1
15,1,0,24,1000,240,10,0.72,0.2300164018,0.1,0.0004938134,8.4679821553,0.4999999995,0.0041824495,106,12672,53,0.1053209866,0.4803681456,1
16,1,0,24,10000,3000,12,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1061524983,0.4818374557,1
17,1,0,24,10000,3000,12,0.69,0.2483116386,0.1,0.0008199165,6.7364373527,0.4430379744,0.0055239899,158,12672,70,0.1061524983,0.4818374557,1
18,1,0,8,1800,600,11,0.02,0.2082630345,1,0.3571109123,1.3099652885,0.1339479393,0.4678030303,44256,12672,5928,0.1223427833,0.5576295958,8
19,1,0,8,1800,600,11,0.48,0.1995530553,0.1,0.0035871348,2.7718235552,0.2465753424,0.0099431818,511,12672,126,0.1223427833,0.5576295958,8
20,0,0,14,5000,600,9,0.05,0.270621403,1,0.2415585868,1.973190948,0.1889507602,0.4766414141,31966,12672,6040,0.1700092452,0.6612532046,3
21,0,0,14,5000,600,9,0.33,0.2158937729,0.1,0.0296288014,2.3944125399,0.2203971562,0.0709438131,4079,12672,899,0.1700092452,0.6612532046,3
22,0,1,16,7000,2400,9,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.098800835,0.448970818,1
23,0,1,16,7000,2400,9,0.57,0.2396987286,0.1,0.0048076923,3.2827600014,0.2793296089,0.0157828283,716,12672,200,0.098800835,0.448970818,1
24,1,0,14,8000,1800,8,0.04,0.2665230087,1,0.2792840638,1.8527367188,0.1794864776,0.5174400252,36532,12672,6557,0.1675671687,0.6609202197,1
25,1,0,14,8000,1800,8,0.3,0.2176108165,0.1,0.0299642218,2.4176479695,0.2220609579,0.0724431818,4134,12672,918,0.1675671687,0.6609202197,1
26,1,0,20,1400,600,11,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.105250288,0.5043254976,20
27,1,0,20,1400,600,11,0.03,0.1189615376,0.1,0.4005851222,1.1341125106,0.1180898853,0.4543087121,48751,12672,5757,0.105250288,0.5043254976,20
28,1,1,22,7000,600,12,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1078576132,0.4956473235,1
29,1,1,22,7000,600,12,0.66,0.2452718967,0.1,0.0009689922,6.0258932793,0.4157303368,0.0058396465,178,12672,74,0.1078576132,0.4956473235,1
30,0,0,16,8000,1800,9,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.098800835,0.448970818,20
31,0,0,16,8000,1800,9,0.57,0.2396987286,0.1,0.0048076923,3.2827600014,0.2793296089,0.0157828283,716,12672,200,0.098800835,0.448970818,20
32,0,0,20,7000,2400,12,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1045399662,0.5037454483,8
33,0,0,20,7000,2400,12,0.03,0.1183085598,0.1,0.3883515951,1.1271657828,0.1174515118,0.4377367424,47228,12672,5547,0.1045399662,0.5037454483,8
34,0,1,14,7000,600,8,0.04,0.2665230087,1,0.2792840638,1.8527367188,0.1794864776,0.5174400252,36532,12672,6557,0.1675671687,0.6609202197,5
35,0,1,14,7000,600,8,0.3,0.2176108165,0.1,0.0299642218,2.4176479695,0.2220609579,0.0724431818,4134,12672,918,0.1675671687,0.6609202197,5
36,0,1,22,8000,600,20,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1085707821,0.4968428583,3
37,0,1,22,8000,600,20,0.61,0.2833516273,0.1,0.0007546959,8.4685748521,0.4999999997,0.0063920455,162,12672,81,0.1085707821,0.4968428583,3
0,0,0,14,1400,240,9,0.05,0.270621403,1,0.2415585868,1.973190948,0.1889507602,0.4766414141,31966,12672,6040,0.1700092452,0.6612532046,3
1,0,0,14,1400,240,9,0.33,0.2158937729,0.1,0.0296288014,2.3944125399,0.2203971562,0.0709438131,4079,12672,899,0.1700092452,0.6612532046,3
2,1,0,14,1600,600,12,0.06,0.2818150234,1,0.2320829606,2.0959167219,0.1983715766,0.4864267677,31073,12672,6164,0.1715612253,0.6626832462,5
3,1,0,14,1600,600,12,0.12,0.2130496697,0.1,0.1316431872,2.2845205345,0.2124303233,0.3007417929,17940,12672,3811,0.1715612253,0.6626832462,5
4,0,1,14,5000,2400,11,0.06,0.2750156769,1,0.227023703,2.0525953614,0.1950711902,0.465988005,30271,12672,5905,0.1708816133,0.6623639027,1
5,0,1,14,5000,2400,11,0.11,0.2118110067,0.1,0.1342426953,2.2673234923,0.2111689023,0.3043718434,18265,12672,3857,0.1708816133,0.6623639027,1
6,0,1,14,10000,3000,18,0.07,0.2790927533,1,0.2219830799,2.1041810611,0.1989981173,0.467092803,29744,12672,5919,0.1753438308,0.6610988739,5
7,0,1,14,10000,3000,18,0.49,0.219917631,0.1,0.0191375969,2.5029596869,0.2281097332,0.0479008838,2661,12672,607,0.1753438308,0.6610988739,5
8,1,0,14,1600,600,11,0.06,0.2750156769,1,0.227023703,2.0525953614,0.1950711902,0.465988005,30271,12672,5905,0.1708816133,0.6623639027,3
9,1,0,14,1600,600,11,0.11,0.2118110067,0.1,0.1342426953,2.2673234923,0.2111689023,0.3043718434,18265,12672,3857,0.1708816133,0.6623639027,3
10,0,1,14,7000,240,11,0.06,0.2750156769,1,0.227023703,2.0525953614,0.1950711902,0.465988005,30271,12672,5905,0.1708816133,0.6623639027,3
11,0,1,14,7000,240,11,0.11,0.2118110067,0.1,0.1342426953,2.2673234923,0.2111689023,0.3043718434,18265,12672,3857,0.1708816133,0.6623639027,3
12,1,1,14,2000,240,12,0.06,0.2818150234,1,0.2320829606,2.0959167219,0.1983715766,0.4864267677,31073,12672,6164,0.1715612253,0.6626832462,1
13,1,1,14,2000,240,12,0.12,0.2130496697,0.1,0.1316431872,2.2845205345,0.2124303233,0.3007417929,17940,12672,3811,0.1715612253,0.6626832462,1
14,1,1,14,5000,240,15,0.07,0.2874584162,1,0.2204177847,2.1832095654,0.2049403462,0.4812184343,29755,12672,6098,0.1743777115,0.6633032804,1
15,1,1,14,5000,240,15,0.15,0.2184605179,0.1,0.1206209004,2.360469746,0.2179533647,0.2847222222,16554,12672,3608,0.1743777115,0.6633032804,1
16,0,1,14,10000,240,15,0.07,0.2874584162,1,0.2204177847,2.1832095654,0.2049403462,0.4812184343,29755,12672,6098,0.1743777115,0.6633032804,3
17,0,1,14,10000,240,15,0.15,0.2184605179,0.1,0.1206209004,2.360469746,0.2179533647,0.2847222222,16554,12672,3608,0.1743777115,0.6633032804,3
18,1,0,14,1800,240,12,0.06,0.2818150234,1,0.2320829606,2.0959167219,0.1983715766,0.4864267677,31073,12672,6164,0.1715612253,0.6626832462,1
19,1,0,14,1800,240,12,0.12,0.2130496697,0.1,0.1316431872,2.2845205345,0.2124303233,0.3007417929,17940,12672,3811,0.1715612253,0.6626832462,1
20,0,0,14,1600,600,11,0.06,0.2750156769,1,0.227023703,2.0525953614,0.1950711902,0.465988005,30271,12672,5905,0.1708816133,0.6623639027,1
21,0,0,14,1600,600,11,0.11,0.2118110067,0.1,0.1342426953,2.2673234923,0.2111689023,0.3043718434,18265,12672,3857,0.1708816133,0.6623639027,1
22,1,1,14,1400,240,20,0.08,0.2789978705,1,0.1933232707,2.2116147499,0.2070546872,0.4275568182,26167,12672,5418,0.175356646,0.6588472218,5
23,1,1,14,1400,240,20,0.42,0.2230151496,0.1,0.0281473614,2.500808625,0.2279580884,0.0703914141,3913,12672,892,0.175356646,0.6588472218,5
24,1,1,14,8000,3600,8,0.04,0.2665230087,1,0.2792840638,1.8527367188,0.1794864776,0.5174400252,36532,12672,6557,0.1675671687,0.6609202197,1
25,1,1,14,8000,3600,8,0.3,0.2176108165,0.1,0.0299642218,2.4176479695,0.2220609579,0.0724431818,4134,12672,918,0.1675671687,0.6609202197,1
26,0,1,14,1800,240,9,0.05,0.270621403,1,0.2415585868,1.973190948,0.1889507602,0.4766414141,31966,12672,6040,0.1700092452,0.6612532046,1
27,0,1,14,1800,240,9,0.33,0.2158937729,0.1,0.0296288014,2.3944125399,0.2203971562,0.0709438131,4079,12672,899,0.1700092452,0.6612532046,1
28,0,0,14,10000,2400,11,0.06,0.2750156769,1,0.227023703,2.0525953614,0.1950711902,0.465988005,30271,12672,5905,0.1708816133,0.6623639027,5
29,0,0,14,10000,2400,11,0.11,0.2118110067,0.1,0.1342426953,2.2673234923,0.2111689023,0.3043718434,18265,12672,3857,0.1708816133,0.6623639027,5
30,0,1,14,5000,240,18,0.07,0.2790927533,1,0.2219830799,2.1041810611,0.1989981173,0.467092803,29744,12672,5919,0.1753438308,0.6610988739,1
31,0,1,14,5000,240,18,0.49,0.219917631,0.1,0.0191375969,2.5029596869,0.2281097332,0.0479008838,2661,12672,607,0.1753438308,0.6610988739,1
32,0,1,14,1600,600,20,0.08,0.2789978705,1,0.1933232707,2.2116147499,0.2070546872,0.4275568182,26167,12672,5418,0.175356646,0.6588472218,3
33,0,1,14,1600,600,20,0.42,0.2230151496,0.1,0.0281473614,2.500808625,0.2279580884,0.0703914141,3913,12672,892,0.175356646,0.6588472218,3
34,1,0,14,8000,600,8,0.04,0.2665230087,1,0.2792840638,1.8527367188,0.1794864776,0.5174400252,36532,12672,6557,0.1675671687,0.6609202197,3
35,1,0,14,8000,600,8,0.3,0.2176108165,0.1,0.0299642218,2.4176479695,0.2220609579,0.0724431818,4134,12672,918,0.1675671687,0.6609202197,3
36,0,0,14,7000,600,8,0.04,0.2665230087,1,0.2792840638,1.8527367188,0.1794864776,0.5174400252,36532,12672,6557,0.1675671687,0.6609202197,5
37,0,0,14,7000,600,8,0.3,0.2176108165,0.1,0.0299642218,2.4176479695,0.2220609579,0.0724431818,4134,12672,918,0.1675671687,0.6609202197,5
38,0,0,14,8000,3000,11,0.06,0.2750156769,1,0.227023703,2.0525953614,0.1950711902,0.465988005,30271,12672,5905,0.1708816133,0.6623639027,1
39,0,0,14,8000,3000,11,0.11,0.2118110067,0.1,0.1342426953,2.2673234923,0.2111689023,0.3043718434,18265,12672,3857,0.1708816133,0.6623639027,1
40,0,1,14,5000,240,20,0.08,0.2789978705,1,0.1933232707,2.2116147499,0.2070546872,0.4275568182,26167,12672,5418,0.175356646,0.6588472218,5
41,0,1,14,5000,240,20,0.42,0.2230151496,0.1,0.0281473614,2.500808625,0.2279580884,0.0703914141,3913,12672,892,0.175356646,0.6588472218,5
42,1,0,14,7000,1800,10,0.05,0.2784485591,1,0.2452482111,2.0294186234,0.1932943087,0.4977114899,32629,12672,6307,0.1701401735,0.6616825866,1
43,1,0,14,7000,1800,10,0.37,0.2197577127,0.1,0.0243831992,2.4693742012,0.225739645,0.0602114899,3380,12672,763,0.1701401735,0.6616825866,1
44,1,0,14,1000,240,12,0.06,0.2818150234,1,0.2320829606,2.0959167219,0.1983715766,0.4864267677,31073,12672,6164,0.1715612253,0.6626832462,3
45,1,0,14,1000,240,12,0.12,0.2130496697,0.1,0.1316431872,2.2845205345,0.2124303233,0.3007417929,17940,12672,3811,0.1715612253,0.6626832462,3
46,1,0,14,7000,1800,20,0.08,0.2789978705,1,0.1933232707,2.2116147499,0.2070546872,0.4275568182,26167,12672,5418,0.175356646,0.6588472218,5
47,1,0,14,7000,1800,20,0.42,0.2230151496,0.1,0.0281473614,2.500808625,0.2279580884,0.0703914141,3913,12672,892,0.175356646,0.6588472218,5
48,1,1,14,10000,4800,10,0.05,0.2784485591,1,0.2452482111,2.0294186234,0.1932943087,0.4977114899,32629,12672,6307,0.1701401735,0.6616825866,1
49,1,1,14,10000,4800,10,0.37,0.2197577127,0.1,0.0243831992,2.4693742012,0.225739645,0.0602114899,3380,12672,763,0.1701401735,0.6616825866,1
50,0,1,14,2000,240,8,0.04,0.2665230087,1,0.2792840638,1.8527367188,0.1794864776,0.5174400252,36532,12672,6557,0.1675671687,0.6609202197,5
51,0,1,14,2000,240,8,0.3,0.2176108165,0.1,0.0299642218,2.4176479695,0.2220609579,0.0724431818,4134,12672,918,0.1675671687,0.6609202197,5
52,0,1,14,1600,240,9,0.05,0.270621403,1,0.2415585868,1.973190948,0.1889507602,0.4766414141,31966,12672,6040,0.1700092452,0.6612532046,1
53,0,1,14,1600,240,9,0.33,0.2158937729,0.1,0.0296288014,2.3944125399,0.2203971562,0.0709438131,4079,12672,899,0.1700092452,0.6612532046,1
54,0,1,14,8000,600,10,0.05,0.2784485591,1,0.2452482111,2.0294186234,0.1932943087,0.4977114899,32629,12672,6307,0.1701401735,0.6616825866,1
55,0,1,14,8000,600,10,0.37,0.2197577127,0.1,0.0243831992,2.4693742012,0.225739645,0.0602114899,3380,12672,763,0.1701401735,0.6616825866,1
56,0,1,14,1800,240,15,0.07,0.2874584162,1,0.2204177847,2.1832095654,0.2049403462,0.4812184343,29755,12672,6098,0.1743777115,0.6633032804,1
57,0,1,14,1800,240,15,0.15,0.2184605179,0.1,0.1206209004,2.360469746,0.2179533647,0.2847222222,16554,12672,3608,0.1743777115,0.6633032804,1
