,smoothing,normalization,precision,lag_size,fut_size,chunk_size,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
0,0,1,8,1000,100,10,0.28,0.21316611028281407,1,0.2421223066354201,2.0351425956666187,0.13599999999395557,0.4927536231090574,2250.0,621,306.0,0.09902648954429262,0.6076202429638615,20
1,0,1,8,1000,100,10,0.28,0.13698190214466338,0.1,0.2421223066354201,2.0351425956666187,0.13599999999395557,0.4927536231090574,2250.0,621,306.0,0.09902648954429262,0.6076202429638615,20
2,0,1,128,80,40,50,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.07099074615603408,0.49382722734756396,8
3,0,1,128,80,40,50,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.07099074615603408,0.49382722734756396,8
4,1,1,8,1800,1500,11,0.29,0.1584158012959049,1,0.17748162909232182,1.59686211101863,0.10993129293504489,0.28341384858560165,1601.0,621,176.0,0.07487509203761493,0.4549249710540033,3
5,1,1,8,1800,1500,11,0.29,0.11060156265217053,0.1,0.17748162909232182,1.59686211101863,0.10993129293504489,0.28341384858560165,1601.0,621,176.0,0.07487509203761493,0.4549249710540033,3
6,1,1,512,1500,80,30,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.06757883995459453,0.4661963105160861,20
7,1,1,512,1500,80,30,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.06757883995459453,0.4661963105160861,20
8,1,1,128,1000,40,7,0.96,0.13513189506746137,1,0.8955037987184519,1.0177880559317647,0.07297576070045157,0.911433172155969,7756.0,621,566.0,0.07293584165607536,0.5037044658363031,1
9,1,1,128,1000,40,7,0.98,0.07878876239162315,0.1,0.04633204633146928,1.1121822477912706,0.07920792077247328,0.05152979065192757,404.0,621,32.0,0.07293584165607536,0.5037044658363031,1
10,1,0,8,800,100,9,0.31,0.21917804465398893,1,0.1979075850018943,2.213169339721153,0.14615797957301677,0.43800322054138435,1861.0,621,272.0,0.09721216418624126,0.601525087499842,45
11,1,0,8,800,100,9,0.31,0.1471285701515913,0.1,0.1979075850018943,2.213169339721153,0.14615797957301677,0.43800322054138435,1861.0,621,272.0,0.09721216418624126,0.601525087499842,45
12,0,1,16,1200,40,80,0.99,0.13629158755983564,1,0.9479387221204642,1.0226442508925915,0.07329842931847926,0.9694041866393874,8213.0,621,602.0,0.07325233605963984,0.5103554766948876,20
13,0,1,16,1200,40,80,0.99,0.07397547176905366,0.1,0.9479387221204642,1.0226442508925915,0.07329842931847926,0.9694041866393874,8213.0,621,602.0,0.07325233605963984,0.5103554766948876,20
14,1,0,128,1500,40,70,0.99,0.13613748128604103,1,0.9491842072369014,1.021302374310577,0.07320929101212198,0.9694041866393874,8223.0,621,602.0,0.07316592501225114,0.5097517874516472,20
15,1,0,128,1500,40,70,0.99,0.07388557799823739,0.1,0.9491842072369014,1.021302374310577,0.07320929101212198,0.9694041866393874,8223.0,621,602.0,0.07316592501225114,0.5097517874516472,20
16,1,0,2,100,100,90,0.18,0.18683269073135514,1,0.049570307634206376,3.4109488633690623,0.20874751486903628,0.16908212557663735,503.0,621,105.0,0.0864551107873835,0.50501824204489,20
17,1,0,2,100,100,90,0.18,0.20826365943894823,0.1,0.049570307634206376,3.4109488633690623,0.20874751486903628,0.16908212557663735,503.0,621,105.0,0.0864551107873835,0.50501824204489,20
18,1,1,512,1200,500,10,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.058821845860953646,0.36957795302816343,3
19,1,1,512,1200,500,10,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.058821845860953646,0.36957795302816343,3
