,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,1.0,0,10,201,0.5,0.005,1200,0.97,0.49875920607727514,0.05566271700039508,8.960367655909625,0.4987593050871565,0.4987593050871565,403.0,403,201.0
1,0.0,1,2,125,1.5,0.2,1000,0.12,0.06847063178921234,0.1352989804316534,0.6602411820297239,0.06831119543295804,0.08933002479172952,527.0,403,36.0
2,0.0,1,9,25,0.1,0.2,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,0.0
3,0.0,1,2,151,1.5,0.4,600,0.09,0.04982651889183675,0.33342518599246557,0.46885329323541225,0.04948939512572746,0.15632754338552665,1273.0,403,63.0
4,1.0,0,10,251,0.5,0.1,800,0.4,0.10801308860815023,0.5764673463605272,1.0804231668184028,0.10712761416529545,0.6228287839645585,2343.0,403,251.0
5,1.0,0,8,101,0.5,0.005,800,0.28,0.019159057921004346,0.19840176356576464,0.17509641019151737,0.01907356947969025,0.03473945408567259,734.0,403,14.0
6,0.0,0,7,125,1.5,0.001,1200,0.81,0.03653599925750768,0.20446403967471855,0.3398097499242605,0.03636363635891381,0.06947890817134518,770.0,403,28.0
7,1.0,0,9,175,0.1,0.001,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,0.0
8,0.0,0,8,101,1.0,0.2,1400,1.01,0.0209610014612544,0.1419123725505122,0.19233887524095533,0.02091254752454134,0.027295285353028463,526.0,403,11.0
9,1.0,1,10,201,0.1,0.001,1600,0.59,0.049415554569810644,0.8291540369019247,0.4638647597623218,0.04898862199592324,0.38461538451994653,3164.0,403,155.0
10,0.0,1,2,101,0.1,0.001,1200,0.03,0.04042744876675966,0.7655001377579086,0.376017115081032,0.040082930199029615,0.28784119099557287,2894.0,403,116.0
11,0.0,1,3,175,0.3,0.3,1200,0.0,0.10084909163892748,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
12,0.0,0,5,25,3.0,0.4,600,0.2,0.028823167564352627,0.2333976301947259,0.2657898146093576,0.02866972476735439,0.06203473943870105,872.0,403,25.0
13,0.0,1,8,101,5.0,0.1,600,0.28,0.006894029070007106,0.39983466518600624,0.0620603757753201,0.006844626967361764,0.024813895775480422,1461.0,403,10.0
14,1.0,1,10,201,0.5,0.1,1400,0.81,0.1382182628236265,0.19702397354100237,1.4357555742121402,0.13751507839113208,0.2828784118404768,829.0,403,114.0
15,0.0,0,10,225,1.5,0.1,1000,1.25,0.5732871674248704,0.026178010470482835,12.322533570364895,0.5777777775209877,0.32258064508124545,225.0,403,130.0
16,0.0,0,8,125,3.0,0.3,800,0.35000000000000003,0.02186368219062325,0.44723064203782775,0.19974034965640577,0.021699819166865593,0.08933002479172952,1659.0,403,36.0
17,1.0,1,1,75,5.0,0.1,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,0.0
18,0.0,0,7,151,1.0,0.005,1200,1.09,0.12349525780579948,0.08790300357983183,1.270291109667729,0.12362637359241033,0.11166253098966189,364.0,403,45.0
19,1.0,0,10,175,2.0,0.4,800,0.8,0.4964528859024102,0.023973546430863225,9.108430102777865,0.502857142569796,0.2183622828242277,175.0,403,88.0
20,0.0,0,10,175,1.0,0.4,1400,0.78,0.19045716135742077,0.2063929457093857,2.1039622462975274,0.18939393937344223,0.4342431760709074,924.0,403,175.0
21,1.0,0,10,75,0.3,0.1,7000,0.0,0.10084909163892748,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
22,0.0,1,8,51,0.1,0.005,800,0.89,0.04201362073242957,0.32267842379932,0.39218869283551877,0.04173486088038176,0.12655086845495014,1222.0,403,51.0
23,0.0,0,10,151,2.0,0.001,1400,1.03,0.04167042608023955,0.37668779277000036,0.3886559347547844,0.041374474050394495,0.14640198507533447,1426.0,403,59.0
24,0.0,0,10,225,1.5,0.001,1000,0.76,0.009106428758408874,0.6651970239552164,0.08206675696591283,0.009031198686000361,0.054590570706056926,2436.0,403,22.0
25,0.0,0,6,101,0.3,0.001,1400,0.0,0.10084909163892748,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
26,0.0,0,4,175,0.5,0.005,5000,1.53,0.14311389959383328,0.29098925322978814,1.4922991898194802,0.1421608448300438,0.4342431760709074,1231.0,403,175.0
27,1.0,0,7,251,1.5,0.001,7000,0.22,0.054763097003136814,0.6718104160740752,0.5171019692975771,0.05430566330278101,0.3473945408567259,2578.0,403,140.0
28,0.0,0,5,125,3.0,0.3,1200,0.24,0.164595856086781,0.17580600715966366,1.7642942114167377,0.1638269986679126,0.3101736971935053,763.0,403,125.0
29,0.0,1,10,75,1.0,0.3,600,0.86,0.11891113376529867,0.15376136676346758,1.210343672139839,0.11848341230355713,0.18610421831610316,633.0,403,75.0
30,0.0,0,1,11,0.1,0.4,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,0.0
31,1.0,0,6,151,2.0,0.3,400,0.8200000000000001,0.14143482843938307,0.10719206392650339,1.4815349102567095,0.14128035316969528,0.1588089329630747,453.0,403,64.0
32,1.0,0,6,25,0.5,0.3,800,0.58,0.14103759257694412,0.04133370074286763,1.500823498536013,0.1428571427755102,0.06203473943870105,175.0,403,25.0
33,1.0,0,8,275,3.0,0.1,1200,0.5,0.0759510723291121,0.6359878754302566,0.7335063847133839,0.07532051281749517,0.4665012405790319,2496.0,403,188.0
