,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,1.0,1,10,301,0.1,0.005,1000,0.0,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
1,0.0,1,6,175,0.3,0.001,200,0.45,0.18380842115637971,0.9862220997248217,1.0139702797512402,0.10120542440730274,0.9999999997518609,3982.0,403,403.0
2,0.0,0,10,125,0.1,0.2,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,0.0
3,1.0,1,1,175,2.0,0.2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,0.0
4,0.0,0,6,301,1.0,0.1,1200,0.12,0.18414437440808698,0.9840176356852021,1.0162418455349587,0.10140915953443863,0.9999999997518609,3974.0,403,403.0
5,1.0,1,6,25,1.0,0.3,5000,0.01,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
6,1.0,1,6,51,1.0,0.001,600,0.04,0.1885379946106154,0.9559107191800521,1.0461226922921818,0.10408057850970867,0.9999999997518609,3872.0,403,403.0
7,1.0,1,4,25,5.0,0.4,5000,0.01,0.18692446331372647,0.4315238357555381,1.1673097191243993,0.11475409835416879,0.5037220842422525,1769.0,403,203.0
8,1.0,1,4,75,1.5,0.005,1200,0.01,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
9,0.0,0,8,101,5.0,0.001,5000,0.12,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
10,0.0,1,10,175,5.0,0.2,2000,0.31,0.2118883673644175,0.4982088729540312,1.3049224414060738,0.12657004830306426,0.650124069317587,2070.0,403,262.0
11,0.0,0,2,75,1.0,0.2,600,0.05,0.18393425987580356,0.9853954257099643,1.0148209258727598,0.1012817290751123,0.9999999997518609,3979.0,403,403.0
12,0.0,0,3,301,5.0,0.4,7000,0.01,0.18368275450448626,0.987048773739679,1.0131210584974515,0.10112923462732423,0.9999999997518609,3985.0,403,403.0
13,1.0,0,2,11,1.5,0.005,7000,0.0,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
14,0.0,0,10,301,0.5,0.4,1800,0.01,0.5471428160656153,0.16919261504080485,5.6170988684217,0.38415245733358555,0.9503722082009002,997.0,403,383.0
15,1.0,0,10,151,2.0,0.2,7000,0.17,0.2532390685976486,0.29760264534864694,1.7926540245716676,0.1660231660103457,0.5334987591728291,1295.0,403,215.0
16,0.0,0,4,175,2.0,0.001,1400,0.18,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
17,0.0,1,2,75,3.0,0.3,1000,0.0,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
18,1.0,0,10,251,0.1,0.2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,0.0
19,1.0,1,4,175,0.3,0.1,1600,0.0,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
20,1.0,1,5,125,2.0,0.2,1200,0.07,0.18585102193479483,0.9594929732444339,1.0292862756420633,0.10257731958498513,0.9875930518641208,3880.0,403,398.0
21,1.0,1,3,201,0.3,0.3,800,0.0,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
22,0.0,0,10,251,1.5,0.4,800,0.1,0.570799664796003,0.15734362082784945,6.13472555871667,0.40520833329112416,0.9652605456661884,960.0,403,389.0
23,0.0,1,10,251,3.0,0.001,800,1.49,0.22395321419967662,0.1402590245207975,2.0345186268128455,0.18429487176533738,0.28535980141802486,624.0,403,115.0
24,1.0,1,10,301,0.3,0.005,1000,0.0,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
25,1.0,0,6,125,5.0,0.005,200,0.04,0.18173617287206942,0.9999999999724443,0.9999998997794266,0.0999503968229179,0.9999999997518609,4032.0,403,403.0
26,0.0,1,10,201,0.1,0.001,1800,3.68,0.21052627801372842,0.28244695507626216,1.4759348399490768,0.14082145849615912,0.4168734490280711,1193.0,403,168.0
27,0.0,0,10,151,1.0,0.2,7000,0.8300000000000001,0.23303163898498977,0.3193717277398906,1.6005364549286774,0.1509157509046948,0.5111662529748967,1365.0,403,206.0
28,1.0,0,8,251,0.1,0.4,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,0.0
29,1.0,1,10,51,2.0,0.4,7000,0.02,0.18635836459490815,0.9696886194276746,1.0312587737867844,0.10275369709069981,0.9999999997518609,3922.0,403,403.0
