,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,1.0,0,10,251,5.0,0.005,1400,0.4,0.9663409709511832,0.0,2213403.879875361,0.9999999996015937,0.2213403879875361,251.0,1134,251.0
1,1.0,0,1,251,0.3,0.2,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
2,1.0,1,10,125,0.3,0.1,800,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
3,1.0,1,10,251,1.5,0.001,1600,0.24,0.15370383683049152,0.1564403338579242,1.4148540919322217,0.15323565322629817,0.2213403879875361,1638.0,1134,251.0
4,0.0,0,10,275,0.1,0.2,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
5,1.0,1,5,125,0.3,0.005,2000,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
6,1.0,1,9,51,5.0,0.3,7000,0.14,0.45534850599071036,0.005865102639230034,7.818208850613317,0.4999999995192308,0.04585537918466884,104.0,1134,52.0
7,1.0,0,5,51,3.0,0.4,400,0.14,0.4544723564475714,0.005752312203860226,7.818206236924224,0.49999999950980395,0.044973544969579046,102.0,1134,51.0
8,0.0,1,8,101,5.0,0.001,200,0.29,0.9089456223201237,0.0,899470.899391581,0.9999999990196079,0.08994708993915809,102.0,1134,102.0
9,0.0,0,5,151,0.5,0.4,1600,0.19,0.9415554746773753,0.0,1375661.375540065,0.9999999993589744,0.1375661375540065,156.0,1134,156.0
10,1.0,1,6,75,0.1,0.005,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
11,0.0,0,7,251,0.3,0.1,400,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
12,0.0,0,3,225,0.3,0.001,7000,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
13,0.0,0,6,225,0.1,0.3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
14,1.0,1,10,251,5.0,0.1,600,0.24,0.9665067604637204,0.0,2222222.222026259,0.9999999996031746,0.22222222220262589,252.0,1134,252.0
15,0.0,0,2,75,0.3,0.4,600,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
16,0.0,1,10,275,1.5,0.001,1400,0.32,0.15741488481660393,0.1929844349177421,1.4530868005463735,0.15672745193904744,0.28042328039855174,2029.0,1134,318.0
17,1.0,0,1,175,3.0,0.005,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
18,1.0,1,8,11,0.1,0.2,200,2.2600000000000002,0.4973117079061469,0.0,97001.76365987638,0.9999999909090911,0.009700176365987637,11.0,1134,11.0
19,0.0,0,10,101,0.5,0.001,200,1.54,0.9080460827475648,0.0,890652.5572406832,0.999999999009901,0.08906525572406832,101.0,1134,101.0
20,1.0,0,3,125,1.0,0.2,2000,0.26,0.925993068056775,0.0,1102292.7688622316,0.9999999992,0.11022927688622317,125.0,1134,125.0
