,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
0,1.0,1,6,2401,3.0,0.2,2000,1.45,0.23396603815415587,1,0.666871645795443,1.320734815756383,0.13490058620881742,0.8807607323162818,82735.0,12672,11161.0,0.14825362486273308,0.5774607089219189,3.0
1,1.0,1,6,2401,3.0,0.2,2000,2.31,0.204251961702455,0.1,0.05634130888486104,2.192004668618455,0.20559642669199163,0.12350063131215672,7612.0,12672,1565.0,0.14825362486273308,0.5774607089219189,3.0
2,1.0,0,2,1201,0.5,0.005,400,2.33,0.21572661225178727,1,0.6289784585563609,1.2162476390585915,0.12556832165370194,0.7649936868626499,77201.0,12672,9694.0,0.09597171961549536,0.45800935434327056,5.0
3,1.0,0,2,1201,0.5,0.005,400,2.33,0.1266161568220653,0.1,0.6289784585563609,1.2162476390585915,0.12556832165370194,0.7649936868626499,77201.0,12672,9694.0,0.09597171961549536,0.45800935434327056,5.0
4,0.0,1,8,241,3.0,0.001,1000,1.76,0.19669519046057377,1,0.9582308437677417,1.0376602720641637,0.10914288189171541,0.9943181818103352,115445.0,12672,12600.0,0.10078559265695387,0.47378923055135813,3.0
5,0.0,1,8,241,3.0,0.001,1000,2.73,0.12352957839045305,0.1,0.27689885211661736,1.1852840598710515,0.12276403565699638,0.3282039141388241,33878.0,12672,4159.0,0.10078559265695387,0.47378923055135813,3.0
6,0.0,1,6,1201,3.0,0.1,800,1.95,0.2013003428021396,1,0.5340544871789896,1.1574368698099444,0.12022654715109247,0.6181344696920917,65152.0,12672,7833.0,0.10150382047237737,0.47880876822754326,45.0
7,0.0,1,6,1201,3.0,0.1,800,1.95,0.12119307367853524,0.1,0.5340544871789896,1.1574368698099444,0.12022654715109247,0.6181344696920917,65152.0,12672,7833.0,0.10150382047237737,0.47880876822754326,45.0
8,1.0,0,5,3601,0.3,0.001,1800,5.5,0.1921440907123281,1,0.9928164132369999,1.0072354626049556,0.10628286742310487,0.9999999999921085,119229.0,12672,12672.0,0.0829721071020415,0.34408482225836645,45.0
9,1.0,0,5,3601,0.3,0.001,1800,5.5,0.10723171643115333,0.1,0.9928164132369999,1.0072354626049556,0.10628286742310487,0.9999999999921085,119229.0,12672,12672.0,0.0829721071020415,0.34408482225836645,45.0
10,0.0,1,5,6001,1.0,0.005,5000,3.88,0.22482066691373706,1,0.39043865533654737,1.3970297210380007,0.14159001986983716,0.545454545450241,48817.0,12672,6912.0,0.11311698799243462,0.5098878526584513,45.0
11,0.0,1,5,6001,1.0,0.005,5000,3.88,0.1426356379005833,0.1,0.39043865533654737,1.3970297210380007,0.14159001986983716,0.545454545450241,48817.0,12672,6912.0,0.11311698799243462,0.5098878526584513,45.0
12,0.0,0,6,6601,1.5,0.005,800,3.46,0.19682671042908031,1,0.9635789355983866,1.0377975890385622,0.10915574850754223,0.9999999999921085,116091.0,12672,12672.0,0.07929828069532074,0.3340071460472533,1.0
13,0.0,0,6,6601,1.5,0.005,800,3.46,0.11012708493603673,0.1,0.9635789355983866,1.0377975890385622,0.10915574850754223,0.9999999999921085,116091.0,12672,12672.0,0.07929828069532074,0.3340071460472533,1.0
14,0.0,0,10,601,1.5,0.1,1000,5.0,0.2387105595016438,1,0.16702072152637987,1.9593781269371484,0.18787659130979986,0.32725694444186193,22073.0,12672,4147.0,0.13994784168531532,0.5970358635891657,5.0
15,0.0,0,10,601,1.5,0.1,1000,5.0600000000000005,0.20283844656444702,0.1,0.09618179785321987,2.154548204779083,0.20279558266891037,0.20722853535190003,12949.0,12672,2626.0,0.13994784168531532,0.5970358635891657,5.0
16,1.0,0,5,4201,1.5,0.001,600,4.26,0.281346217386517,1,0.162641621943796,2.3930178603616308,0.22029658745658257,0.38920454545147404,22388.0,12672,4932.0,0.15363134974253737,0.4714797121924325,1.0
17,1.0,0,5,4201,1.5,0.001,600,5.94,0.2709728238679239,0.1,0.057366204531848757,3.1694246875498973,0.2723082377937323,0.181818181816747,8461.0,12672,2304.0,0.15363134974253737,0.4714797121924325,1.0
18,1.0,0,8,3601,1.0,0.4,2000,3.21,0.22077944582353232,1,0.7564568425753239,1.2150235569445271,0.12545779654430883,0.9191130050432519,92836.0,12672,11647.0,0.10638767659074069,0.5053799779141577,5.0
19,1.0,0,8,3601,1.0,0.4,2000,4.21,0.13136322575258758,0.1,0.47338066487731684,1.269445722028195,0.13034473314824835,0.6009311868639446,58422.0,12672,7615.0,0.10638767659074069,0.5053799779141577,5.0
20,0.0,1,6,6001,1.5,0.001,400,3.1,0.24548137926725686,1,0.7230638789498331,1.3785288013404287,0.13997739261476574,0.9967645201941543,90236.0,12672,12631.0,0.12607299826770627,0.5717273014877597,8.0
21,0.0,1,6,6001,1.5,0.001,400,3.87,0.15552769033318892,0.1,0.3649746571254799,1.546607929755621,0.1544090663785118,0.564472853530899,46325.0,12672,7153.0,0.12607299826770627,0.5717273014877597,8.0
22,0.0,0,5,241,0.1,0.001,600,6.94,0.22027431028358654,1,0.09286486285024144,2.381064046698258,0.21943770067961907,0.2211174242406793,12769.0,12672,2802.0,0.1458199397891428,0.5713453125747026,1.0
23,0.0,0,5,241,0.1,0.001,600,7.34,0.28131456176705905,0.1,0.04124739117467832,3.363381787693606,0.2842360549671102,0.13873106060496582,6185.0,12672,1758.0,0.1458199397891428,0.5713453125747026,1.0
24,1.0,1,7,6601,3.0,0.005,800,4.18,0.2855106558595637,1,0.1397491800833522,2.6020625180795665,0.23501810577734983,0.363636363633494,19607.0,12672,4608.0,0.14443208225216955,0.5260844956464051,1.0
25,1.0,1,7,6601,3.0,0.005,800,4.18,0.2358439629387272,0.1,0.1397491800833522,2.6020625180795665,0.23501810577734983,0.363636363633494,19607.0,12672,4608.0,0.14443208225216955,0.5260844956464051,1.0
26,0.0,0,5,3601,5.0,0.005,7000,0.59,0.1933003669420937,1,0.9854651162781516,1.0147491595582148,0.10699088145887622,0.9999999999921085,118440.0,12672,12672.0,0.10368928740792252,0.506886973835727,5.0
27,0.0,0,5,3601,5.0,0.005,7000,0.59,0.10794528786395632,0.1,0.9854651162781516,1.0147491595582148,0.10699088145887622,0.9999999999921085,118440.0,12672,12672.0,0.10368928740792252,0.506886973835727,5.0
28,0.0,1,5,6001,0.5,0.1,1400,4.24,0.19106204170191662,1,0.9997763864033619,1.0002235635582417,0.10562112422475693,0.9999999999921085,119976.0,12672,12672.0,0.07969688877903505,0.3499490286613856,8.0
29,0.0,1,5,6001,0.5,0.1,1400,4.24,0.10656476990252803,0.1,0.9997763864033619,1.0002235635582417,0.10562112422475693,0.9999999999921085,119976.0,12672,12672.0,0.07969688877903505,0.3499490286613856,8.0
30,1.0,0,10,6001,2.0,0.005,200,5.26,0.19303829469251085,1,0.9871235837796408,1.0130442784668736,0.10683032929226018,0.9999999999921085,118618.0,12672,12672.0,0.11625752895650085,0.4122485386707998,20.0
31,1.0,0,10,6001,2.0,0.005,200,10.200000000000001,0.19186185627843025,0.1,0.09035852713169876,2.0121839783128275,0.19196800533084513,0.181818181816747,12002.0,12672,2304.0,0.11625752895650085,0.4122485386707998,20.0
