,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,0.0,1,2,6001,2.0,0.005,7000,0.33,0.2190905248183858,1,0.7544163685145028,1.2050252705561912,0.12455400583833436,0.909090909083735,92490.0,12672,11520.0
1,0.0,1,2,6001,2.0,0.005,7000,0.35000000000000003,0.20497631707590983,0.1,0.08312835420385814,2.1871955103467866,0.20523784072505577,0.181818181816747,11226.0,12672,2304.0
2,1.0,1,4,3001,0.3,0.1,200,0.0,0.19102747910359416,1,0.9999999999990683,0.9999998999930502,0.105599999999912,0.9999999999921085,120000.0,12672,12672.0
3,1.0,1,4,3001,0.3,0.1,200,0.0,0.10654347943128295,0.1,0.9999999999990683,0.9999998999930502,0.105599999999912,0.9999999999921085,120000.0,12672,12672.0
4,0.0,1,1,6601,0.3,0.2,1800,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12672,0.0
5,0.0,1,1,6601,0.3,0.2,1800,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,12672,0.0
0,0.0,1,9,1201,0.3,0.005,1200,8.24,0.22415045725586832,1,0.5865105098384518,1.2842657356181615,0.1316660689158666,0.7532354797920356,72494.0,12672,9545.0
1,0.0,1,9,1201,0.3,0.005,1200,10.67,0.6458355995372772,0.1,0.003279666070360689,20.42770875201758,0.7069109075181589,0.06699810606007735,1201.0,12672,849.0
2,1.0,1,7,601,0.1,0.005,1000,1.54,0.2145189042127023,1,0.513724284436015,1.2514755568820235,0.12873712154710712,0.6429135100959366,63284.0,12672,8147.0
3,1.0,1,7,601,0.1,0.005,1000,1.54,0.12976463163756521,0.1,0.513724284436015,1.2514755568820235,0.12873712154710712,0.6429135100959366,63284.0,12672,8147.0
4,1.0,1,4,241,1.0,0.3,1200,0.32,0.1920029055439505,1,0.9884559481207248,1.0068886253460823,0.10625015795982658,0.9952651515072974,118701.0,12672,12612.0
5,1.0,1,4,241,1.0,0.3,1200,4.42,0.17525840563531062,0.1,0.02020907871196686,1.8821455687752728,0.18181818181132336,0.038036616161316,2651.0,12672,482.0
0,0.0,0,10,601,0.3,0.1,400,5.61,0.19231030154155856,1,0.9917542486573944,1.0083142073900426,0.10638458632405122,0.9999999999921085,119115.0,12672,12672.0
1,0.0,0,10,601,0.3,0.1,400,7.2700000000000005,0.11534947639175426,0.1,0.5044536374473535,1.0945745991782163,0.11444413549434167,0.5521622474703901,61139.0,12672,6997.0
2,0.0,0,9,3601,0.1,0.4,1000,7.69,0.25858247846393334,1,0.36188133571820785,1.667989037553257,0.16453354556956584,0.6036142676720043,46489.0,12672,7649.0
3,0.0,0,9,3601,0.1,0.4,1000,7.88,0.16622455090198607,0.1,0.34473762671404967,1.674252585581469,0.16504942004746795,0.5771780302984755,44314.0,12672,7314.0
4,1.0,1,4,1201,2.0,0.3,1400,0.89,0.20982027044501975,1,0.7659883720923095,1.145714587926567,0.11915399697843297,0.8776041666597411,93333.0,12672,11121.0
5,1.0,1,4,1201,2.0,0.3,1400,0.89,0.12018234937844194,0.1,0.7659883720923095,1.145714587926567,0.11915399697843297,0.8776041666597411,93333.0,12672,11121.0
6,0.0,0,5,1201,5.0,0.2,1400,0.63,0.2535987392568551,1,0.5047611061414498,1.5175880423868455,0.1519520365671833,0.7660195707010257,63882.0,12672,9707.0
7,0.0,0,5,1201,5.0,0.2,1400,0.65,0.21154840608788142,0.1,0.1101203786522528,2.2680909185157905,0.21122530699271738,0.24976325757378656,14984.0,12672,3165.0
8,1.0,0,1,1201,5.0,0.005,600,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12672,0.0
9,1.0,0,1,1201,5.0,0.005,600,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,12672,0.0
10,1.0,1,3,6001,0.1,0.001,1200,0.0,0.19102747910359416,1,0.9999999999990683,0.9999998999930502,0.105599999999912,0.9999999999921085,120000.0,12672,12672.0
11,1.0,1,3,6001,0.1,0.001,1200,10.57,0.19186185627843025,0.1,0.09035852713169876,2.0121839783128275,0.19196800533084513,0.181818181816747,12002.0,12672,2304.0
12,0.0,1,10,6001,2.0,0.001,1600,3.1,0.21502564576454178,1,0.8620397286813674,1.1600392078423734,0.12046428944880319,0.9999999999921085,105193.0,12672,12672.0
13,0.0,1,10,6001,2.0,0.001,1600,6.73,0.18987792304114162,0.1,0.04517926356584938,2.0121817514288924,0.19196800532924566,0.0909090909083735,6001.0,12672,1152.0
14,0.0,0,3,1201,5.0,0.001,600,0.18,0.2052544056793571,1,0.6734123434698556,1.1384566639161784,0.1184886146038974,0.7666508838323338,81991.0,12672,9715.0
15,0.0,0,3,1201,5.0,0.001,600,0.2,0.2641522819902779,0.1,0.02062835420391638,3.1713390923584965,0.27242852447346605,0.06541982323180698,3043.0,12672,829.0
16,0.0,1,10,4801,0.5,0.4,1000,7.17,0.21839613379442743,1,0.8450916815734523,1.1833034254933081,0.12258401532288334,0.9999999999921085,103374.0,12672,12672.0
