,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,1.0,1,10,251,0.5,0.3,1800,0.38,0.15431822259516703,0.07933740191705894,2.3544412995069757,0.1540504647869787,0.18679549111323746,753.0,621,116.0
1,1.0,1,2,225,5.0,0.001,1800,0.01,0.07171700878740976,0.9834350479389284,0.9890075625154829,0.07105882352857577,0.972624798555133,8500.0,621,604.0
2,0.0,1,8,225,0.1,0.3,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
3,0.0,0,10,125,2.0,0.2,1200,0.8300000000000001,0.0021364519744687407,0.17548885290602206,0.027528330379891577,0.0021246458922008038,0.00483091787361821,1412.0,621,3.0
4,0.0,0,1,101,1.0,0.001,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
5,1.0,1,10,251,0.1,0.3,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
6,1.0,1,4,151,1.5,0.3,400,0.22,0.040339034896926404,0.2537053182182874,0.5395076202172983,0.0400565504222405,0.13687600641918263,2122.0,621,85.0
7,1.0,0,1,251,1.0,0.001,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
8,0.0,1,4,25,0.5,0.001,1400,1.1300000000000001,0.016425821801103926,0.18757005853546432,0.21462715210749692,0.016329196602460534,0.040257648946818415,1531.0,621,25.0
9,0.0,0,5,11,0.3,0.4,1400,1.24,0.10460353013828741,0.01108481753629238,1.597969987472254,0.10999999989,0.017713365536600103,100.0,621,11.0
10,0.0,0,2,175,0.3,0.3,1200,0.0,0.0724578005058431,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
11,0.0,1,9,151,0.1,0.3,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
12,1.0,1,10,11,1.0,0.3,600,0.27,0.026693107355582585,0.049694856145850105,0.3564419190674605,0.026829268286139202,0.017713365536600103,410.0,621,11.0
13,1.0,1,7,225,1.5,0.005,5000,0.26,0.03842133578012089,0.12205754141085992,0.5145268385584993,0.0382728164829958,0.06280193235703672,1019.0,621,39.0
14,0.0,1,10,101,1.0,0.005,1800,1.09,0.06455467154302454,0.18345995765122108,0.8865194082427776,0.06416772553594868,0.1626409017451464,1574.0,621,101.0
15,1.0,0,4,75,1.0,0.005,5000,0.38,0.9327661861964089,0.0,1207729.4684045527,0.9999999986666668,0.12077294684045525,75.0,621,75.0
16,0.0,1,7,201,1.0,0.4,1800,0.15,0.2953666181428548,0.03960642670270761,5.448117174591715,0.29646017692556187,0.2157809983549467,452.0,621,134.0
17,1.0,0,1,25,3.0,0.3,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
18,1.0,1,4,101,5.0,0.1,400,0.06,0.0334984902202344,0.3659235272092923,0.44446679484875934,0.03323461664912029,0.1626409017451464,3039.0,621,101.0
19,1.0,1,6,275,0.5,0.4,600,0.35000000000000003,0.08249479833612965,0.1616639681135675,1.1554545997321763,0.08203677510028028,0.18679549111323746,1414.0,621,116.0
20,1.0,0,10,101,3.0,0.001,1000,0.25,0.2984875647776171,0.05741686386776165,5.4969811442828656,0.29832572293785,0.3156199677430564,657.0,621,196.0
21,0.0,1,6,51,5.0,0.3,7000,0.14,0.4156690816674557,0.008842944326705158,9.83332419385565,0.4319999996544,0.08695652172512777,125.0,621,54.0
22,0.0,0,10,275,5.0,0.001,800,0.48,0.2610145868733111,0.05069124423899998,4.574431027916425,0.2613430126567436,0.2318840579336741,551.0,621,144.0
23,0.0,1,10,225,0.1,0.001,600,1.3900000000000001,0.001970821975453859,0.6999626354377885,0.025306155084843712,0.001953471852211801,0.017713365536600103,5631.0,621,11.0
24,1.0,0,1,225,0.3,0.1,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
25,0.0,1,6,275,0.5,0.1,5000,0.02,0.09379774678403908,0.5588491717454371,1.3254750038555578,0.09298564786551475,0.7407407406214589,4947.0,621,460.0
26,0.0,1,4,201,1.5,0.3,400,0.15,0.09482093441453403,0.11583011582867318,1.3485227217800713,0.09444985393432814,0.15619967791365547,1027.0,621,97.0
27,1.0,0,10,125,1.5,0.4,2000,0.27,0.2972018422593557,0.033877195167095815,5.513884452459691,0.2989690720878945,0.18679549111323746,388.0,621,116.0
28,0.0,0,10,301,1.5,0.3,400,0.88,0.01900158010458444,0.30452111096893114,0.24853565956606005,0.018860353129259218,0.07568438002001862,2492.0,621,47.0
29,0.0,0,7,51,5.0,0.005,1200,0.32,0.25473487552319884,0.018059534188341518,4.54746773910438,0.2602040814998959,0.08212560385150956,196.0,621,51.0
30,1.0,1,5,175,3.0,0.3,1600,0.17,0.010181348103660344,0.19491842072244467,0.1321828999649133,0.010120177102459191,0.025764895325963787,1581.0,621,16.0
31,1.0,1,1,51,1.5,0.3,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
32,0.0,0,2,251,0.1,0.001,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
33,1.0,0,9,201,2.0,0.4,600,0.35000000000000003,0.5654164330951574,0.010586623489717442,17.644315665244886,0.5771144275735749,0.18679549111323746,201.0,621,116.0
34,0.0,0,7,125,2.0,0.005,7000,0.64,0.17780282905532946,0.06451612903145452,2.7954868098973327,0.17777777774955908,0.1803542672817465,630.0,621,112.0
35,1.0,0,10,25,1.0,0.005,2000,0.51,0.8984156576702997,0.0,805152.9789363684,0.999999998,0.08051529789363683,50.0,621,50.0
36,0.0,0,10,125,0.5,0.4,1000,1.25,0.21287201427655353,0.024411508282171982,3.562097208836212,0.2159999999136,0.08695652172512777,250.0,621,54.0
37,0.0,0,10,25,1.0,0.4,7000,1.18,0.4492073325578942,0.003113712791093365,12.928731316786259,0.499999999,0.040257648946818415,50.0,621,25.0
38,0.0,0,5,225,1.0,0.3,800,0.66,0.012680427541170172,0.46942334038523575,0.16465876930742723,0.01257532093234018,0.07729468597789135,3817.0,621,48.0
39,1.0,0,9,125,5.0,0.005,200,0.22,0.328532667735863,0.031261676422577385,6.387287020324638,0.33066666657848887,0.19967793877621934,375.0,621,124.0
40,1.0,1,7,11,5.0,0.4,7000,0.34,0.029260370866704397,0.0493212106109189,0.39179152490312985,0.029411764698673584,0.01932367149447284,408.0,621,12.0
41,1.0,1,8,251,1.0,0.2,1200,0.41000000000000003,0.45550304711069906,0.01681404907190417,11.109422803046625,0.4621513942381867,0.18679549111323746,251.0,621,116.0
42,0.0,0,9,225,0.5,0.3,2000,1.45,0.1630371873529705,0.09951426080334395,2.5081548176098725,0.16247379453223545,0.2495974234702742,954.0,621,155.0
43,1.0,0,10,201,3.0,0.005,600,0.26,0.3481557063790857,0.0489475650759877,6.908690141364235,0.34825870640990736,0.3381642511532747,603.0,621,210.0
44,1.0,1,3,51,2.0,0.2,1200,0.13,0.31178463534392753,0.013451239257523338,6.1053849196151,0.32075471677939954,0.08212560385150956,159.0,621,51.0
45,1.0,1,8,201,1.5,0.1,400,0.32,0.2808176654065012,0.03674181093490171,5.083989546547986,0.28223844275371324,0.18679549111323746,411.0,621,116.0
46,0.0,0,10,175,0.1,0.1,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
47,1.0,0,9,225,2.0,0.1,200,0.24,0.20988505751526465,0.05430315107666829,3.439858340148169,0.21014492749816216,0.18679549111323746,552.0,621,116.0
48,1.0,0,10,201,5.0,0.001,5000,0.21,0.13987666759554737,0.05965873707734888,2.1053689757851886,0.14003590661758783,0.12560386471407345,557.0,621,78.0
49,1.0,0,2,25,0.1,0.3,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
50,0.0,0,10,225,0.1,0.2,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
51,1.0,1,10,201,5.0,0.2,1800,0.2,0.047138955687785505,0.21546892514366087,0.635246789314253,0.04683195592028474,0.13687600641918263,1815.0,621,85.0
52,1.0,0,10,75,1.0,0.1,1000,0.43,0.9327661861964089,0.0,1207729.4684045527,0.9999999986666668,0.12077294684045525,75.0,621,75.0
53,0.0,1,4,101,0.1,0.001,1800,0.7000000000000001,0.02256752172198352,0.5496325818838008,0.29590835317091047,0.022374833849748012,0.1626409017451464,4514.0,621,101.0
54,1.0,0,2,51,2.0,0.1,1600,0.06,0.32781936007195156,0.01270394818766093,6.591277722853142,0.33766233744307644,0.08373590980938231,154.0,621,52.0
55,0.0,0,10,251,2.0,0.001,7000,0.87,0.25675364887991153,0.06974716652049139,4.455931613866616,0.25630810089557665,0.31078904986943817,753.0,621,193.0
56,0.0,0,5,51,0.5,0.1,7000,1.22,0.9003660897802611,0.0,821256.0385150957,0.9999999980392157,0.08212560385150956,51.0,621,51.0
57,1.0,0,4,175,5.0,0.005,200,0.07,0.11907849335831136,0.3980570432133758,1.7314372112651284,0.11810154525060426,0.6892109499695313,3624.0,621,428.0
58,1.0,1,10,151,0.3,0.001,600,0.0,0.0724578005058431,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
59,0.0,0,6,175,5.0,0.2,1000,0.14,0.06158496427525119,0.1967866483971007,0.8428489977698903,0.06120023766718952,0.16586151366089188,1683.0,621,103.0
60,1.0,1,10,201,3.0,0.2,200,0.21,0.19441955749984263,0.10163158550128744,3.1055272397214964,0.19367588930892532,0.3156199677430564,1012.0,621,196.0
61,0.0,1,8,301,0.1,0.001,1600,0.14,0.002590968572295152,0.7256196288363979,0.03328822027320742,0.002568053415467077,0.02415458936809105,5841.0,621,15.0
62,1.0,0,3,75,0.5,0.3,1800,0.3,0.0728687229064211,0.031261676422577385,1.0302075839233287,0.07380073798014733,0.032206119157454735,271.0,621,20.0
