,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,1.0,1,6,251,0.5,0.001,1600,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
1,1.0,0,4,25,1.0,0.2,1800,0.07,0.13413974339596732,0.9985054178478203,1.0014967188106987,0.07189164158286765,0.9999999998389695,8638.0,621,621.0
2,1.0,1,9,275,1.5,0.005,1600,0.21,0.20822940394569203,0.4595840079653807,1.755420326577116,0.11954187544453491,0.8067632848942411,4191.0,621,501.0
3,0.0,0,10,11,0.1,0.1,1600,0.05,0.13419771843401948,0.9980072238012454,1.00199665472407,0.0719249478796395,0.9999999998389695,8634.0,621,621.0
4,1.0,1,10,11,1.5,0.001,5000,0.03,0.1340239434656408,0.9995018059409703,1.0004983421192482,0.07182512144261131,0.9999999998389695,8646.0,621,621.0
5,1.0,0,6,125,0.5,0.2,200,0.24,0.48284955579126576,0.0658861626595356,8.94529385627738,0.4089385474403421,0.5893719805814216,895.0,621,366.0
6,0.0,1,4,175,0.1,0.3,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
7,1.0,0,1,175,2.0,0.4,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
8,0.0,0,2,101,1.5,0.005,200,0.18,0.23394491307682103,0.018557728234916457,8.850777452179525,0.4063745018301297,0.16425120770301913,251.0,621,102.0
9,1.0,1,10,225,0.5,0.2,200,0.18,0.2074885643554074,0.5338149209050466,1.7134283380055175,0.11701689328147885,0.9146537840717144,4854.0,621,568.0
10,1.0,0,2,301,0.3,0.005,600,0.17,0.291128782456751,0.3101257939928992,2.751986126292607,0.1754966887359107,0.8534621576725504,3020.0,621,530.0
11,1.0,1,4,225,5.0,0.2,800,0.04,0.1351468861986511,0.9899115705444027,1.0101911408813058,0.07247053331692763,0.9999999998389695,8569.0,621,621.0
12,0.0,1,6,25,5.0,0.3,200,0.09,0.14858660124275716,0.8770706189951791,1.1291428873903342,0.08031866266056786,0.990338164091733,7657.0,621,615.0
13,0.0,0,5,275,5.0,0.3,7000,0.07,0.13405404152555497,0.9975090297546705,1.000882762974453,0.07185073588976879,0.9983896938810968,8629.0,621,620.0
14,1.0,0,2,301,3.0,0.2,200,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
15,1.0,1,2,275,2.0,0.2,1800,0.04,0.13492665770254988,0.9917797982190587,1.0082882317283015,0.07234389561891491,0.9999999998389695,8584.0,621,621.0
16,1.0,1,3,11,0.1,0.2,1000,0.03,0.1395582185557033,0.8458089425726018,1.0585487592495078,0.07567714713385494,0.8953301125772416,7347.0,621,556.0
17,1.0,1,8,301,5.0,0.2,1400,0.17,0.3401653734145838,0.21011333914298028,3.625064256625164,0.21898148147134347,0.7616747180738044,2160.0,621,473.0
18,1.0,1,5,101,0.3,0.2,1000,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
19,0.0,0,7,51,0.3,0.005,600,1.36,0.2222221721967358,0.058164154937624064,3.765226778982241,0.22553897177022572,0.21900161027069218,603.0,621,136.0
20,1.0,0,6,301,0.3,0.3,5000,0.2,0.1549896608926939,0.7573794993055502,1.197024920018475,0.08473810957127126,0.9066022542823508,6644.0,621,563.0
21,1.0,0,10,125,2.0,0.005,600,0.22,0.5857740118258127,0.06999626354377884,11.272727316243135,0.4657794676363327,0.7890499193576409,1052.0,621,490.0
22,0.0,0,7,75,0.1,0.2,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
23,0.0,0,9,225,1.0,0.2,1400,1.06,0.1801470280005978,0.2925644538511326,1.6182068038750954,0.11123723041576855,0.47342995161458457,2643.0,621,294.0
24,1.0,0,10,275,3.0,0.1,1800,0.23,0.5273631413267528,0.10698717150196803,7.9772308022347405,0.3815694744145738,0.8534621576725504,1389.0,621,530.0
25,1.0,1,10,125,5.0,0.3,1400,0.13,0.16693161971838805,0.6406775438953708,1.3195569346590952,0.09260892573482786,0.8454106278831868,5669.0,621,525.0
26,1.0,1,4,25,5.0,0.001,5000,0.07,0.15787335458998683,0.48798106862015217,1.2836745716720384,0.09031808683328725,0.6264090176124946,4307.0,621,389.0
27,1.0,1,5,225,2.0,0.001,1400,0.2,0.15916952914164248,0.5189936480194421,1.284536989324848,0.09037328094105276,0.666666666559313,4581.0,621,414.0
28,0.0,0,10,75,0.1,0.3,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
29,1.0,0,10,201,0.5,0.005,800,0.4,0.49071353968328135,0.018806825258203926,21.491380960837457,0.6243781092974183,0.4041867954260569,402.0,621,251.0
30,0.0,1,9,25,0.5,0.005,1600,0.39,0.14003758045501846,0.908581392441044,1.056308497230838,0.0755290837653589,0.9597423508921511,7891.0,621,596.0
31,0.0,1,3,75,0.3,0.001,1600,0.02,0.13398057002086391,0.9998754514759014,1.000124463852411,0.07180020811571511,0.9999999998389695,8649.0,621,621.0
32,1.0,0,4,25,0.3,0.1,5000,0.12,0.1354930375631188,0.9835595964505722,1.013440660003006,0.07268670737350062,0.996779387923224,8516.0,621,619.0
33,0.0,1,8,75,2.0,0.001,1800,0.46,0.1367690655507121,0.9763357827752356,1.024237680373345,0.07340425531828126,0.9999999998389695,8460.0,621,621.0
34,1.0,0,2,125,1.5,0.005,800,0.11,0.23433237622124953,0.08407024535952086,3.2945341614769985,0.20306965759113701,0.2769726247541107,847.0,621,172.0
35,1.0,0,6,101,2.0,0.3,600,0.13,0.19230103384698513,0.5747913812358352,1.560462268171825,0.10769528228716753,0.8969404185351143,5172.0,621,557.0
36,0.0,0,1,275,3.0,0.001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
37,1.0,1,3,25,0.3,0.3,600,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
38,0.0,0,10,301,0.1,0.1,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
